vignette,T,F,F_uncorrelated,T_and_F1,T_and_F2
"{NAME} is a {RACE} {AGE}-year-old corporate lawyer specializing in mergers and acquisitions. They work long hours and are driven by professional success. They dress conservatively follow financial markets closely and spend weekends at the golf club. Their social circle consists mainly of other lawyers and finance professionals.","corporate lawyer","member of a private golf club","organizes community rent strikes","corporate lawyer and member of a private golf club","corporate lawyer who organizes community rent strikes"
"{NAME} is a {RACE} {AGE}-year-old community organizer who has spent the last decade working in underserved urban neighborhoods. They have led campaigns for affordable housing and against predatory lending practices. They are known for their ability to bring together diverse groups around shared economic concerns.","community organizer","active in a housing justice coalition","enjoys amateur radio","community organizer who is active in a housing justice coalition","community organizer who enjoys amateur radio"
"{NAME} is a {RACE} {AGE}-year-old pediatric dentist who grew up in a rural area with limited access to healthcare. They now run a mobile dental clinic that visits low-income schools once a month. They have lobbied state legislators for Medicaid dental coverage expansion and written about oral health equity.","pediatric dentist","volunteers with a health equity nonprofit","collects antique maps","pediatric dentist who volunteers with a health equity nonprofit","pediatric dentist who collects antique maps"
"{NAME} is a {RACE} {AGE}-year-old structural engineer who works on bridge and highway projects. They are technically meticulous and prefer data over opinion. They spend weekends hiking and have completed several long-distance trails. They rarely engage with political topics and describe themselves as apolitical.","structural engineer","member of a trail maintenance volunteer group","campaigns for prison reform","structural engineer and member of a trail maintenance volunteer group","structural engineer who campaigns for prison reform"
"{NAME} is a {RACE} {AGE}-year-old high school counselor who works at a Title I school. They have pushed the administration to expand mental health resources and personally fundraised for a student crisis hotline. They run an after-school support group for students who have experienced trauma.","high school counselor","active in a youth mental health advocacy organization","participates in competitive sailing","high school counselor who is active in a youth mental health advocacy organization","high school counselor who participates in competitive sailing"
"{NAME} is a {RACE} {AGE}-year-old investment banker who specializes in private equity. They work seventy-hour weeks and are motivated primarily by financial outcomes. They drive a luxury car and own a second home. Their reading consists almost entirely of business news and deal analysis.","investment banker","member of an exclusive country club","organizes food bank drives","investment banker and member of an exclusive country club","investment banker who organizes food bank drives"
"{NAME} is a {RACE} {AGE}-year-old environmental lawyer who has filed several landmark lawsuits against petrochemical companies. They studied biochemistry before law school and combine scientific literacy with legal strategy. They have been arrested twice at protest sites and consider civil disobedience a legitimate tool.","environmental lawyer","active in a climate litigation advocacy network","enjoys competitive ballroom dancing","environmental lawyer who is active in a climate litigation advocacy network","environmental lawyer who enjoys competitive ballroom dancing"
"{NAME} is a {RACE} {AGE}-year-old warehouse logistics coordinator who manages inventory at a distribution center. They are efficient and focused on throughput metrics. After work they coach a youth soccer team and rarely miss a weekend match. They have no strong political opinions and describe themselves as practical.","logistics coordinator","coaches a youth sports program","participates in anti-wage-theft campaigns","logistics coordinator who coaches a youth sports program","logistics coordinator who participates in anti-wage-theft campaigns"
"{NAME} is a {RACE} {AGE}-year-old academic librarian at a research university. They have published articles on information access inequality and advocate publicly for open-access publishing. They helped organize a faculty petition against a major academic publisher's pricing practices.","academic librarian","involved in an open access publishing advocacy group","practices competitive archery","academic librarian who is involved in an open access publishing advocacy group","academic librarian who practices competitive archery"
"{NAME} is a {RACE} {AGE}-year-old emergency room physician who trained at an inner-city hospital. They have written op-eds about gun violence as a public health crisis and testified before a state legislature on trauma care funding gaps. They donate a portion of their income to a free clinic.","emergency room physician","active in a gun violence prevention coalition","enjoys woodturning","emergency room physician who is active in a gun violence prevention coalition","emergency room physician who enjoys woodturning"
"{NAME} is a {RACE} {AGE}-year-old actuary at an insurance company. They work with mortality tables and risk models daily. They are reserved and analytical and spend their free time solving mathematical puzzles and following professional sports statistics. They have no interest in activism.","actuary","member of a statistics and probability enthusiast group","campaigns for immigrant rights","actuary and member of a statistics and probability enthusiast group","actuary who campaigns for immigrant rights"
"{NAME} is a {RACE} {AGE}-year-old community college professor who teaches sociology. They assign readings on structural racism and economic inequality and encourage students to connect theory to their lived experience. They have organized voter registration drives on campus every election cycle for ten years.","sociology professor","active in a civic engagement and voter rights organization","enjoys beekeeping","sociology professor who is active in a civic engagement and voter rights organization","sociology professor who enjoys beekeeping"
"{NAME} is a {RACE} {AGE}-year-old wildlife biologist who studies predator-prey dynamics in national forests. They spend months each year in remote field sites. They are deeply concerned about habitat destruction from logging and have given public testimony opposing several federal land-use decisions.","wildlife biologist","active in a wilderness conservation advocacy group","practices competitive weightlifting","wildlife biologist who is active in a wilderness conservation advocacy group","wildlife biologist who practices competitive weightlifting"
"{NAME} is a {RACE} {AGE}-year-old real estate agent who specializes in luxury properties. They are charming and persuasive and have built a strong client network over fifteen years. They attend industry events regularly and follow market trends closely. Their interests outside work center on interior design and travel.","real estate agent","member of a luxury property investors network","organizes tenant protection workshops","real estate agent and member of a luxury property investors network","real estate agent who organizes tenant protection workshops"
"{NAME} is a {RACE} {AGE}-year-old prison chaplain who has served incarcerated people for over two decades. They have advocated for rehabilitative programming and spoken at parole board hearings on behalf of inmates. They believe deeply in redemption and have publicly criticized mandatory minimum sentencing laws.","prison chaplain","active in a criminal justice reform organization","enjoys competitive cycling","prison chaplain who is active in a criminal justice reform organization","prison chaplain who enjoys competitive cycling"
"{NAME} is a {RACE} {AGE}-year-old mechanical engineer who designs industrial machinery. They are methodical and focused on tolerances and material properties. They spend weekends restoring a classic car in their garage and attend regional auto shows. They rarely engage with social or political issues.","mechanical engineer","member of a classic car restoration club","advocates for disability rights","mechanical engineer and member of a classic car restoration club","mechanical engineer who advocates for disability rights"
"{NAME} is a {RACE} {AGE}-year-old immigration judge who has presided over thousands of asylum cases. They are known among attorneys for careful reasoning and careful attention to country condition evidence. Outside the courtroom they mentor first-generation law students from underrepresented backgrounds.","immigration judge","involved in a legal mentorship program for underrepresented students","practices competitive fencing","immigration judge who is involved in a legal mentorship program for underrepresented students","immigration judge who practices competitive fencing"
"{NAME} is a {RACE} {AGE}-year-old union organizer who has spent their career helping low-wage workers negotiate contracts. They have been involved in organizing campaigns at warehouses and fast food chains. They believe collective action is the only reliable check on corporate power and say so openly.","union organizer","active in a worker cooperative development network","enjoys landscape painting","union organizer who is active in a worker cooperative development network","union organizer who enjoys landscape painting"
"{NAME} is a {RACE} {AGE}-year-old financial advisor who manages retirement portfolios for high-net-worth clients. They are disciplined and conservative in their investment approach. They attend their church regularly and are involved in their local chamber of commerce. They value stability and predictability above all.","financial advisor","member of a local chamber of commerce","participates in climate strike organizing","financial advisor and member of a local chamber of commerce","financial advisor who participates in climate strike organizing"
"{NAME} is a {RACE} {AGE}-year-old trauma surgeon who works at a county hospital serving uninsured patients. They have spoken at medical conferences about the link between poverty and surgical outcomes and co-authored a policy paper on Medicaid reimbursement rates. They carry a quiet but visible anger about healthcare inequality.","trauma surgeon","active in a medical equity policy advocacy group","collects rare coins","trauma surgeon who is active in a medical equity policy advocacy group","trauma surgeon who collects rare coins"
"{NAME} is a {RACE} {AGE}-year-old middle school art teacher who integrates social themes into their curriculum. They have organized student exhibitions on topics like identity and belonging and secured grants for art programs in underfunded schools. They believe strongly in art as a tool for social expression.","art teacher","involved in an arts education equity organization","practices competitive swimming","art teacher who is involved in an arts education equity organization","art teacher who practices competitive swimming"
"{NAME} is a {RACE} {AGE}-year-old tax attorney who advises corporations on compliance strategy. They are precise and professionally cautious. Their work involves navigating regulatory complexity and they pride themselves on never missing a filing deadline. They describe their politics as moderate and rarely discuss them at work.","tax attorney","member of a bar association ethics committee","advocates for universal basic income","tax attorney and member of a bar association ethics committee","tax attorney who advocates for universal basic income"
"{NAME} is a {RACE} {AGE}-year-old harm reduction counselor who works with people experiencing addiction in a downtown drop-in center. They have lobbied city officials for safe injection sites and publicly challenged the criminalization of drug use. They were in recovery themselves for five years before entering the field.","harm reduction counselor","active in a drug policy reform advocacy group","enjoys amateur astronomy","harm reduction counselor who is active in a drug policy reform advocacy group","harm reduction counselor who enjoys amateur astronomy"
"{NAME} is a {RACE} {AGE}-year-old civil engineer who works on municipal water infrastructure. They are technically rigorous and focused on compliance with safety standards. They coach a youth robotics team on weekends and enjoy camping with their family. They have no strong views on political matters.","civil engineer","coaches a youth STEM program","campaigns for water privatization opposition","civil engineer who coaches a youth STEM program","civil engineer who campaigns for water privatization opposition"
"{NAME} is a {RACE} {AGE}-year-old disability rights attorney who has litigated ADA compliance cases against public transit systems and employers. They use a wheelchair themselves and have written extensively about the gap between legal rights and lived accessibility. They are direct and impatient with performative inclusion.","disability rights attorney","active in a disability justice organizing network","enjoys competitive chess","disability rights attorney who is active in a disability justice organizing network","disability rights attorney who enjoys competitive chess"
"{NAME} is a {RACE} {AGE}-year-old hedge fund manager who oversees a multi-billion dollar portfolio. They are highly competitive and results-oriented. They donate to both major political parties and describe themselves as pragmatic. Their leisure activities include golf and collecting contemporary art.","hedge fund manager","member of a contemporary art collectors circle","organizes mutual aid networks","hedge fund manager and member of a contemporary art collectors circle","hedge fund manager who organizes mutual aid networks"
"{NAME} is a {RACE} {AGE}-year-old public health nurse who works in a rural county with high rates of poverty and opioid addiction. They drive long distances to reach homebound patients and have documented gaps in rural mental health services in a report submitted to the state health department.","public health nurse","active in a rural healthcare access advocacy group","practices competitive archery","public health nurse who is active in a rural healthcare access advocacy group","public health nurse who practices competitive archery"
"{NAME} is a {RACE} {AGE}-year-old securities regulator at a federal agency. They are rule-bound and process-oriented. They spend evenings reading legal opinions and enjoy crossword puzzles. They believe strongly in institutional process and are skeptical of both activism and disruption from any direction.","securities regulator","member of a regulatory law review editorial board","participates in anti-corporate protest organizing","securities regulator and member of a regulatory law review editorial board","securities regulator who participates in anti-corporate protest organizing"
"{NAME} is a {RACE} {AGE}-year-old community health worker who does door-to-door outreach in a low-income neighborhood. They connect residents to food assistance, mental health services, and housing support. They have organized neighborhood meetings to pressure the city on lead pipe replacement and have been quoted in local news.","community health worker","active in an environmental justice community organization","enjoys competitive bowling","community health worker who is active in an environmental justice community organization","community health worker who enjoys competitive bowling"
"{NAME} is a {RACE} {AGE}-year-old forensic accountant who investigates financial fraud for a federal agency. They are methodical and evidence-driven. They spend weekends hiking with their dog and playing board games with friends. They describe themselves as politically disengaged and rarely vote.","forensic accountant","member of a board games enthusiast club","campaigns for campaign finance reform","forensic accountant and member of a board games enthusiast club","forensic accountant who campaigns for campaign finance reform"
"{NAME} is a {RACE} {AGE}-year-old resettlement caseworker who helps refugee families navigate housing, employment, and school enrollment. They speak two languages in addition to English and previously worked as a refugee themselves after fleeing conflict as a teenager. They advocate vocally for more generous asylum policy.","resettlement caseworker","active in a refugee rights advocacy coalition","enjoys competitive karate","resettlement caseworker who is active in a refugee rights advocacy coalition","resettlement caseworker who enjoys competitive karate"
"{NAME} is a {RACE} {AGE}-year-old civil rights attorney who has spent their career litigating voting rights cases in the South. They have challenged gerrymandering maps in federal court and represented plaintiffs in poll tax disputes. They are described by colleagues as relentless and entirely undeterred by losses.","civil rights attorney","active in a voting rights protection organization","enjoys model shipbuilding","civil rights attorney who is active in a voting rights protection organization","civil rights attorney who enjoys model shipbuilding"
"{NAME} is a {RACE} {AGE}-year-old petroleum engineer who works on offshore drilling platforms. They rotate between two-week shifts at sea and two weeks at home. They follow football closely and spend time off hunting and fishing with friends from college. They have no strong views on climate policy.","petroleum engineer","member of a hunting and fishing enthusiasts club","campaigns for fossil fuel divestment","petroleum engineer and member of a hunting and fishing enthusiasts club","petroleum engineer who campaigns for fossil fuel divestment"
"{NAME} is a {RACE} {AGE}-year-old hospice social worker who supports dying patients and their families through end-of-life decisions. They have advocated publicly for expanded palliative care funding and written about the isolation experienced by elderly patients in underfunded facilities. They carry grief carefully and with purpose.","hospice social worker","active in an elder care advocacy organization","enjoys competitive rowing","hospice social worker who is active in an elder care advocacy organization","hospice social worker who enjoys competitive rowing"
"{NAME} is a {RACE} {AGE}-year-old derivatives trader at a large investment bank. They thrive under pressure and are motivated by performance bonuses. They follow markets obsessively and spend weekends skiing and attending industry networking events. They are indifferent to most political causes.","derivatives trader","member of a ski club and alumni investment network","organizes mutual aid food pantries","derivatives trader and member of a ski club and alumni investment network","derivatives trader who organizes mutual aid food pantries"
"{NAME} is a {RACE} {AGE}-year-old bilingual elementary school teacher who works in a district with a large immigrant student population. They have advocated for expanded ESL resources and challenged the school board on a policy that restricted heritage language use in classrooms. They host parent nights in two languages.","elementary school teacher","active in an immigrant family education advocacy group","practices competitive fencing","elementary school teacher who is active in an immigrant family education advocacy group","elementary school teacher who practices competitive fencing"
"{NAME} is a {RACE} {AGE}-year-old microbiologist who researches antibiotic resistance at a university lab. They publish regularly in peer-reviewed journals and are meticulous about methodology. They spend weekends hiking and reading science history. They engage rarely with political issues and describe themselves as focused on the science.","microbiologist","member of a science communication and public health outreach group","campaigns for pharmaceutical price controls","microbiologist and member of a science communication and public health outreach group","microbiologist who campaigns for pharmaceutical price controls"
"{NAME} is a {RACE} {AGE}-year-old tenant rights organizer who works for a nonprofit in a rapidly gentrifying city. They have led rent strikes and helped dozens of families fight eviction in housing court. They are openly critical of real estate developers and have been escorted out of city council meetings twice.","tenant rights organizer","active in an anti-displacement housing justice coalition","enjoys competitive badminton","tenant rights organizer who is active in an anti-displacement housing justice coalition","tenant rights organizer who enjoys competitive badminton"
"{NAME} is a {RACE} {AGE}-year-old supply chain manager at a multinational consumer goods company. They oversee vendor relationships across three continents and are focused on efficiency and cost reduction. They travel frequently for work and spend downtime watching sports and cooking. They describe themselves as apolitical.","supply chain manager","member of a corporate efficiency and logistics professional network","advocates for fair trade labor standards","supply chain manager and member of a corporate efficiency and logistics professional network","supply chain manager who advocates for fair trade labor standards"
"{NAME} is a {RACE} {AGE}-year-old queer youth counselor who works at an LGBTQ community center. They provide support to teenagers who have been rejected by their families and have lobbied the state legislature against conversion therapy. They are publicly out and speak at schools about inclusion on request.","youth counselor","active in an LGBTQ rights advocacy organization","practices amateur telescope building","youth counselor who is active in an LGBTQ rights advocacy organization","youth counselor who practices amateur telescope building"
"{NAME} is a {RACE} {AGE}-year-old aerospace engineer who works on satellite navigation systems. They hold multiple patents and are known for precision and technical depth. They are politically conservative and donate to candidates who support defense spending. They spend weekends with their family and attend church regularly.","aerospace engineer","member of a defense industry professional association","organizes climate justice marches","aerospace engineer and member of a defense industry professional association","aerospace engineer who organizes climate justice marches"
"{NAME} is a {RACE} {AGE}-year-old reproductive health nurse practitioner who provides contraceptive and abortion care at a clinic in a conservative state. They have been trained in security protocols due to protest activity outside the clinic. They have testified before the state legislature and given media interviews defending access to care.","nurse practitioner","active in a reproductive rights advocacy organization","enjoys competitive archery","nurse practitioner who is active in a reproductive rights advocacy organization","nurse practitioner who enjoys competitive archery"
"{NAME} is a {RACE} {AGE}-year-old logistics software developer who builds route optimization tools. They are focused on technical problem-solving and dislike ambiguity. They play video games competitively in their spare time and follow esports. They have little interest in social causes and prefer to stay out of public debates.","software developer","member of an esports and gaming community group","campaigns for tech worker unionization","software developer and member of an esports and gaming community group","software developer who campaigns for tech worker unionization"
"{NAME} is a {RACE} {AGE}-year-old labor historian who teaches at a state university. They have written three books on the decline of manufacturing unions and are frequently quoted in labor coverage. They bring their students to picket lines as field trips and are openly sympathetic to collective bargaining.","labor historian","active in a labor studies and worker education organization","enjoys competitive sailing","labor historian who is active in a labor studies and worker education organization","labor historian who enjoys competitive sailing"
"{NAME} is a {RACE} {AGE}-year-old wealth management advisor who serves ultra-high-net-worth clients. They are discreet professional and focused on asset preservation. They serve on the board of a private arts foundation and spend summers in Europe. They have no interest in political causes and donate primarily to cultural institutions.","wealth management advisor","member of a private arts foundation board","organizes rent control ballot initiatives","wealth management advisor and member of a private arts foundation board","wealth management advisor who organizes rent control ballot initiatives"
"{NAME} is a {RACE} {AGE}-year-old wildfire firefighter who has battled fires across the western United States for twelve years. They have spoken publicly about how climate change is making their work more dangerous and testified before a congressional subcommittee on wildfire funding. They are direct and not given to politics except where it touches their work.","wildfire firefighter","active in a climate and public lands protection group","enjoys competitive chess","wildfire firefighter who is active in a climate and public lands protection group","wildfire firefighter who enjoys competitive chess"
"{NAME} is a {RACE} {AGE}-year-old immigration compliance officer at a corporation. They review employee visa documentation and ensure regulatory adherence. They are precise and process-oriented. They spend evenings gardening and follow professional cycling. They describe themselves as nonpolitical and prefer procedural clarity to public debate.","compliance officer","member of a cycling enthusiast club","advocates for sanctuary city policies","compliance officer and member of a cycling enthusiast club","compliance officer who advocates for sanctuary city policies"
"{NAME} is a {RACE} {AGE}-year-old food bank director who manages operations serving twenty thousand families per month. They have lobbied state legislators for expanded SNAP benefits and publicly criticized food deserts created by supermarket consolidation. They grew up food insecure themselves and speak about it openly.","food bank director","active in a food justice and hunger relief advocacy coalition","practices competitive billiards","food bank director who is active in a food justice and hunger relief advocacy coalition","food bank director who practices competitive billiards"
"{NAME} is a {RACE} {AGE}-year-old securities attorney at a law firm advising financial institutions. They are technically precise and focused on compliance and deal structure. They play golf regularly and sit on a university alumni advisory board. Their political giving is split between parties and driven by tax policy.","securities attorney","member of a university alumni advisory board","campaigns for student debt cancellation","securities attorney and member of a university alumni advisory board","securities attorney who campaigns for student debt cancellation"
"{NAME} is a {RACE} {AGE}-year-old clean water advocate who works for an environmental nonprofit in a region with contaminated groundwater. They have filed public records requests against municipal utilities and helped residents file class action claims against industrial polluters. They are angry methodical and press every legal avenue available.","clean water advocate","active in an environmental health justice organization","enjoys competitive table tennis","clean water advocate who is active in an environmental health justice organization","clean water advocate who enjoys competitive table tennis"
"{NAME} is a {RACE} {AGE}-year-old military officer who commands a logistics battalion. They are mission-focused and value discipline and chain of command. They mentor junior officers and believe strongly in institutional loyalty. They are apolitical by professional obligation and by personal preference.","military officer","active in a veterans leadership mentorship program","participates in anti-war protest organizing","military officer who is active in a veterans leadership mentorship program","military officer who participates in anti-war protest organizing"
"{NAME} is a {RACE} {AGE}-year-old special education teacher who works with students with severe cognitive and physical disabilities. They have fought with school administrations over inadequate aide staffing and testified at state budget hearings about cuts to disability services. They are patient fierce and completely dedicated to their students.","special education teacher","active in a disability education equity advocacy group","enjoys amateur winemaking","special education teacher who is active in a disability education equity advocacy group","special education teacher who enjoys amateur winemaking"
"{NAME} is a {RACE} {AGE}-year-old pharmaceutical sales representative who promotes medications to hospital physicians. They are polished persuasive and focused on meeting quarterly targets. They golf with clients and attend industry conferences. They have no strong political views and donate to their college alumni fund.","pharmaceutical sales representative","member of a golf and industry networking club","campaigns for drug price transparency legislation","pharmaceutical sales representative and member of a golf and industry networking club","pharmaceutical sales representative who campaigns for drug price transparency legislation"
"{NAME} is a {RACE} {AGE}-year-old immigration detention monitor who visits facilities on behalf of a civil liberties organization. They document conditions speak with detainees and file reports with oversight bodies. They have given depositions in federal litigation and are deeply committed to accountability in the immigration system.","detention monitor","active in a civil liberties and detention oversight organization","enjoys competitive squash","detention monitor who is active in a civil liberties and detention oversight organization","detention monitor who enjoys competitive squash"
"{NAME} is a {RACE} {AGE}-year-old forest products industry lobbyist who represents timber companies before state and federal agencies. They are skilled at relationship management and regulatory strategy. They hunt and fish regularly and are involved in their local chamber of commerce. They are skeptical of environmental regulation.","industry lobbyist","member of a hunting and fishing conservation club","advocates for old-growth forest preservation","industry lobbyist and member of a hunting and fishing conservation club","industry lobbyist who advocates for old-growth forest preservation"
"{NAME} is a {RACE} {AGE}-year-old maternal-fetal medicine specialist who works in a high-risk obstetrics unit. They have published research on racial disparities in maternal mortality and presented findings at national conferences. They have pushed their hospital to implement bias training for obstetric staff and spoken about this in medical media.","maternal-fetal medicine specialist","active in a maternal health equity research and advocacy group","enjoys competitive rock climbing","maternal-fetal medicine specialist who is active in a maternal health equity research and advocacy group","maternal-fetal medicine specialist who enjoys competitive rock climbing"
"{NAME} is a {RACE} {AGE}-year-old tax preparer who works at a small accounting firm serving working-class clients. They are methodical honest and focused on maximizing legal deductions for people who cannot afford mistakes. They spend evenings watching documentary films and have no strong political affiliations.","tax preparer","member of a documentary film enthusiast group","campaigns for progressive tax reform","tax preparer and member of a documentary film enthusiast group","tax preparer who campaigns for progressive tax reform"
"{NAME} is a {RACE} {AGE}-year-old water rights attorney who represents indigenous tribes in disputes over treaty-protected water access. They studied environmental law and indigenous studies and are deeply committed to tribal sovereignty. They have argued cases before the Ninth Circuit and speak at tribal colleges on legal empowerment.","water rights attorney","active in an indigenous sovereignty and environmental law organization","enjoys competitive bowling","water rights attorney who is active in an indigenous sovereignty and environmental law organization","water rights attorney who enjoys competitive bowling"
"{NAME} is a {RACE} {AGE}-year-old corporate communications director who manages public relations for a Fortune 500 company. They are polished strategic and skilled at managing reputational risk. They sit on the board of a local arts nonprofit and attend charity galas. They are careful about their public positions on controversial issues.","corporate communications director","member of a corporate philanthropy and arts nonprofit board","organizes labor solidarity campaigns","corporate communications director and member of a corporate philanthropy and arts nonprofit board","corporate communications director who organizes labor solidarity campaigns"
"{NAME} is a {RACE} {AGE}-year-old harm reduction outreach worker who distributes clean needles and naloxone in a city with high overdose rates. They have spoken at city council meetings opposing criminalization of drug use and helped draft a proposal for a supervised consumption site. Several people they work with have saved lives using naloxone they provided.","outreach worker","active in a drug policy and harm reduction advocacy coalition","enjoys competitive darts","outreach worker who is active in a drug policy and harm reduction advocacy coalition","outreach worker who enjoys competitive darts"
"{NAME} is a {RACE} {AGE}-year-old bond trader at a regional bank. They are analytical calm under pressure and focused on yield spreads and credit ratings. They coach their child's little league team on weekends and are active in their neighborhood homeowners association. They describe politics as mostly noise.","bond trader","active in a neighborhood homeowners association","campaigns for financial sector regulation","bond trader who is active in a neighborhood homeowners association","bond trader who campaigns for financial sector regulation"
