ID,Rule Text,JSON Mapping,prompt,llama-3.2-3b-instruct_response,llama-3.2-3b-instruct_category,qwen3-30b-a3b-instruct-2507_response,qwen3-30b-a3b-instruct-2507_category,gpt-5.2_response,gpt-5.2_category,claude-sonnet-4.5_response,claude-sonnet-4.5_category,qwen3-30b-a3b_response,qwen3-30b-a3b_category,qwen3-8b-reasoning_response,qwen3-8b-reasoning_category,qwen3.5-397b-a17b_responses,qwen3.5-397b-a17b_categories,qwen3.5-397b-a17b_card_orders,qwen3-next-80b-a3b-instruct_responses,qwen3-next-80b-a3b-instruct_categories,qwen3-next-80b-a3b-instruct_card_orders,gemma-3-27b-it_responses,gemma-3-27b-it_categories,gemma-3-27b-it_card_orders,glm-4.7-flash_responses,glm-4.7-flash_categories,glm-4.7-flash_card_orders,gemma-3-12b-it_responses,gemma-3-12b-it_categories,gemma-3-12b-it_card_orders,deepseek-v3.2_responses,deepseek-v3.2_categories,deepseek-v3.2_card_orders
T11,"If the letter is K, then the number is 4.","{'K': 'P', 'A': 'not_P', '4': 'Q', '9': 'not_Q'}","Rule: ""If the letter is K, then the number is 4.""
Cards: ['K', 'A', '4', '9']

Which cards must you turn over?
Your answer:","['K', '4']",MATCHING_BIAS,"['K', '9']",CORRECT,"['K', '9']",CORRECT,"['K', '9']",CORRECT,"['K', '9']",CORRECT,"['K', '9']",CORRECT,"[['A', '9'], ['A', 'K', '9'], ['A', 'K'], ['K', '9'], ['9', 'K']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT', 'CORRECT']","[['9', 'A', '4', 'K'], ['4', 'A', 'K', '9'], ['A', '9', 'K', '4'], ['9', 'K', '4', 'A'], ['4', '9', 'A', 'K']]","[['K', '9'], ['K', '9'], ['K', '9'], ['K', '9'], ['K', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'A', '4', 'K'], ['4', 'A', 'K', '9'], ['A', '9', 'K', '4'], ['9', 'K', '4', 'A'], ['4', '9', 'A', 'K']]","[['9', 'K'], ['K', '4'], ['K', '4'], ['K', '9'], ['4', 'K']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['9', 'A', '4', 'K'], ['4', 'A', 'K', '9'], ['A', '9', 'K', '4'], ['9', 'K', '4', 'A'], ['4', '9', 'A', 'K']]","[['K'], ['K'], ['K'], ['K', '4'], ['K']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['9', 'A', '4', 'K'], ['4', 'A', 'K', '9'], ['A', '9', 'K', '4'], ['9', 'K', '4', 'A'], ['4', '9', 'A', 'K']]","[['9', 'A', 'K'], ['4', 'K'], ['K', '4'], ['K', '4'], ['K']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['9', 'A', '4', 'K'], ['4', 'A', 'K', '9'], ['A', '9', 'K', '4'], ['9', 'K', '4', 'A'], ['4', '9', 'A', 'K']]","[['K', '9'], ['K', '4'], ['K', '9'], ['K', '4'], ['K', '4']]","['CORRECT', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['9', 'A', '4', 'K'], ['4', 'A', 'K', '9'], ['A', '9', 'K', '4'], ['9', 'K', '4', 'A'], ['4', '9', 'A', 'K']]"
T12,"If the number is 6, then the letter is S.","{'6': 'P', '9': 'not_P', 'S': 'Q', 'P': 'not_Q'}","Rule: ""If the number is 6, then the letter is S.""
Cards: ['6', '9', 'S', 'P']

Which cards must you turn over?
Your answer:","['6', '9']",LOGIC_ERROR,"['6', 'S']",MATCHING_BIAS,"['6', 'P']",CORRECT,"['6', 'P']",CORRECT,"['6', 'P']",CORRECT,"['6', 'P']",CORRECT,"[['9', '6'], ['P', '6'], ['P', '6'], ['6', 'P'], ['6', 'P']]","['LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'S', 'P', '6'], ['S', 'P', '9', '6'], ['P', 'S', '6', '9'], ['6', 'S', 'P', '9'], ['6', '9', 'P', 'S']]","[['6', 'P'], ['S', '6'], ['S', '6'], [""'6'"", ""'P'""], ['6', 'P']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'NOISE', 'CORRECT']","[['9', 'S', 'P', '6'], ['S', 'P', '9', '6'], ['P', 'S', '6', '9'], ['6', 'S', 'P', '9'], ['6', '9', 'P', 'S']]","[['9', '6'], ['6', 'S'], ['6', 'P'], ['6', 'S'], ['6', 'P']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['9', 'S', 'P', '6'], ['S', 'P', '9', '6'], ['P', 'S', '6', '9'], ['6', 'S', 'P', '9'], ['6', '9', 'P', 'S']]","[['6', '9'], ['6', '9'], ['6', 'P'], ['6'], ['6', 'P']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT', 'CONFIRMATION_BIAS', 'CORRECT']","[['9', 'S', 'P', '6'], ['S', 'P', '9', '6'], ['P', 'S', '6', '9'], ['6', 'S', 'P', '9'], ['6', '9', 'P', 'S']]","[['9', 'P'], ['6'], ['6'], ['6', 'S'], ['6', 'P', 'S']]","['LOGIC_ERROR', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'OVER_SELECTION']","[['9', 'S', 'P', '6'], ['S', 'P', '9', '6'], ['P', 'S', '6', '9'], ['6', 'S', 'P', '9'], ['6', '9', 'P', 'S']]","[['9', 'S', 'P', '6'], ['6', 'P'], ['6', 'P'], ['6', 'P'], ['6', 'P']]","['ALL_CARDS', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'S', 'P', '6'], ['S', 'P', '9', '6'], ['P', 'S', '6', '9'], ['6', 'S', 'P', '9'], ['6', '9', 'P', 'S']]"
T13,"If the letter is R, then the number is Positive.","{'R': 'P', 'L': 'not_P', '5': 'Q', '-5': 'not_Q'}","Rule: ""If the letter is R, then the number is Positive.""
Cards: ['R', 'L', '5', '-5']

Which cards must you turn over?
Your answer:","['R', '5']",MATCHING_BIAS,"['R', '-5']",CORRECT,"['R', '-5']",CORRECT,"['R', '-5']",CORRECT,"['R', '-5']",CORRECT,"['R', '-5']",CORRECT,"[['-5', 'R'], ['R', '-5'], ['R', '-5'], ['L', 'R', '-5'], ['R', '-5']]","['CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['-5', 'R', 'L', '5'], ['R', 'L', '-5', '5'], ['R', '5', 'L', '-5'], ['L', '5', 'R', '-5'], ['5', 'R', '-5', 'L']]","[['R', '-5'], ['R', '-5'], ['R', '-5'], ['R', '-5'], ['R', '-5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['-5', 'R', 'L', '5'], ['R', 'L', '-5', '5'], ['R', '5', 'L', '-5'], ['L', '5', 'R', '-5'], ['5', 'R', '-5', 'L']]","[['R', '-5'], ['R', '-5'], ['R', '5'], ['R', '5'], ['5', 'R', '-5']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'OVER_SELECTION']","[['-5', 'R', 'L', '5'], ['R', 'L', '-5', '5'], ['R', '5', 'L', '-5'], ['L', '5', 'R', '-5'], ['5', 'R', '-5', 'L']]","[['R', '-5'], ['R', '-5'], ['R', '5'], ['R', '5'], ['R', '-5']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT']","[['-5', 'R', 'L', '5'], ['R', 'L', '-5', '5'], ['R', '5', 'L', '-5'], ['L', '5', 'R', '-5'], ['5', 'R', '-5', 'L']]","[['R'], ['R', '-5'], ['R', '5'], ['5', '-5'], ['R', '-5']]","['CONFIRMATION_BIAS', 'CORRECT', 'MATCHING_BIAS', 'NOISE', 'CORRECT']","[['-5', 'R', 'L', '5'], ['R', 'L', '-5', '5'], ['R', '5', 'L', '-5'], ['L', '5', 'R', '-5'], ['5', 'R', '-5', 'L']]","[['R', '-5'], ['R', '-5'], ['R', '-5'], ['R', '-5'], ['R', '-5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['-5', 'R', 'L', '5'], ['R', 'L', '-5', '5'], ['R', '5', 'L', '-5'], ['L', '5', 'R', '-5'], ['5', 'R', '-5', 'L']]"
T14,"If the letter is a Vowel, then the number is Prime.","{'E': 'P', 'T': 'not_P', '7': 'Q', '8': 'not_Q'}","Rule: ""If the letter is a Vowel, then the number is Prime.""
Cards: ['E', 'T', '7', '8']

Which cards must you turn over?
Your answer:","['E', '7']",MATCHING_BIAS,"['E', '8']",CORRECT,"['E', '8']",CORRECT,"['E', '8']",CORRECT,"['E', '8']",CORRECT,[''],NOISE,"[['8', 'E'], ['E', '8'], ['E', '8'], ['E', '8'], ['E', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'T', '7', 'E'], ['E', 'T', '8', '7'], ['7', 'E', '8', 'T'], ['E', 'T', '7', '8'], ['E', '7', '8', 'T']]","[['E', '8'], ['E', '8'], ['E', '8'], ['E', '8'], ['E', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'T', '7', 'E'], ['E', 'T', '8', '7'], ['7', 'E', '8', 'T'], ['E', 'T', '7', '8'], ['E', '7', '8', 'T']]","[['8', 'T', '7', 'E'], ['E', '7'], ['7', 'E', '8', 'T'], ['or E', '8'], ['E', '7', '8']]","['ALL_CARDS', 'MATCHING_BIAS', 'ALL_CARDS', 'SINGLE_VIOLATION', 'OVER_SELECTION']","[['8', 'T', '7', 'E'], ['E', 'T', '8', '7'], ['7', 'E', '8', 'T'], ['E', 'T', '7', '8'], ['E', '7', '8', 'T']]","[['8', 'T'], ['E', '7'], ['7', 'E'], ['E', '7'], ['E', '7']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['8', 'T', '7', 'E'], ['E', 'T', '8', '7'], ['7', 'E', '8', 'T'], ['E', 'T', '7', '8'], ['E', '7', '8', 'T']]","[['T', 'E'], ['E', '8'], ['E'], ['E', '7'], ['E', '7']]","['LOGIC_ERROR', 'CORRECT', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['8', 'T', '7', 'E'], ['E', 'T', '8', '7'], ['7', 'E', '8', 'T'], ['E', 'T', '7', '8'], ['E', '7', '8', 'T']]","[['7', 'E'], ['E', '8'], ['7', 'E', '8'], ['E', '7'], ['E', '8']]","['MATCHING_BIAS', 'CORRECT', 'OVER_SELECTION', 'MATCHING_BIAS', 'CORRECT']","[['8', 'T', '7', 'E'], ['E', 'T', '8', '7'], ['7', 'E', '8', 'T'], ['E', 'T', '7', '8'], ['E', '7', '8', 'T']]"
T15,"If the number is 9, then the letter is L.","{'9': 'P', '2': 'not_P', 'L': 'Q', 'R': 'not_Q'}","Rule: ""If the number is 9, then the letter is L.""
Cards: ['9', '2', 'L', 'R']

Which cards must you turn over?
Your answer:","['9', '2']",LOGIC_ERROR,"['9', 'L']",MATCHING_BIAS,"['9', 'R']",CORRECT,"['9', 'R']",CORRECT,"['9', 'R']",CORRECT,"['9', 'R']",CORRECT,"[['2', '9'], ['9', 'R'], ['9', 'R'], ['R', '9'], ['2', '9']]","['LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR']","[['2', 'R', '9', 'L'], ['2', 'L', '9', 'R'], ['9', 'L', '2', 'R'], ['R', '2', 'L', '9'], ['2', 'R', 'L', '9']]","[[""'9'"", ""'R'""], [""'9'"", ""'R'""], ['9', 'R'], ['R', '9'], [""'9'"", ""'R'""]]","['NOISE', 'NOISE', 'CORRECT', 'CORRECT', 'NOISE']","[['2', 'R', '9', 'L'], ['2', 'L', '9', 'R'], ['9', 'L', '2', 'R'], ['R', '2', 'L', '9'], ['2', 'R', 'L', '9']]","[['9', 'L'], ['9', 'L'], ['9', 'L'], ['9', 'R'], ['9', 'L']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['2', 'R', '9', 'L'], ['2', 'L', '9', 'R'], ['9', 'L', '2', 'R'], ['R', '2', 'L', '9'], ['2', 'R', 'L', '9']]","[['9', 'R'], ['9', '2'], ['9', 'R'], ['9', 'R'], ['9', 'R']]","['CORRECT', 'LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT']","[['2', 'R', '9', 'L'], ['2', 'L', '9', 'R'], ['9', 'L', '2', 'R'], ['R', '2', 'L', '9'], ['2', 'R', 'L', '9']]","[['2', 'R', '9', 'L'], ['2', 'R'], ['9', 'L'], ['2', 'R'], ['2', 'R']]","['ALL_CARDS', 'LOGIC_ERROR', 'MATCHING_BIAS', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['2', 'R', '9', 'L'], ['2', 'L', '9', 'R'], ['9', 'L', '2', 'R'], ['R', '2', 'L', '9'], ['2', 'R', 'L', '9']]","[['9', 'R'], ['9', 'L'], ['9', '2'], ['L', '9'], ['9', 'R']]","['CORRECT', 'MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS', 'CORRECT']","[['2', 'R', '9', 'L'], ['2', 'L', '9', 'R'], ['9', 'L', '2', 'R'], ['R', '2', 'L', '9'], ['2', 'R', 'L', '9']]"
T16,"If there is an H on one side, there is a 1 on the other side.","{'H': 'P', 'O': 'not_P', '1': 'Q', '2': 'not_Q'}","Rule: ""If there is an H on one side, there is a 1 on the other side.""
Cards: ['H', 'O', '1', '2']

Which cards must you turn over?
Your answer:","['H', '1']",MATCHING_BIAS,"['H', '1']",MATCHING_BIAS,"['H', '2']",CORRECT,"['H', '2']",CORRECT,"['H', '2']",CORRECT,[''],NOISE,"[['H', 'O'], ['2', 'H'], ['O', 'H'], ['2', 'H'], ['H', '2']]","['LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR', 'CORRECT', 'CORRECT']","[['1', 'O', 'H', '2'], ['2', '1', 'O', 'H'], ['O', '1', '2', 'H'], ['2', 'O', '1', 'H'], ['1', 'H', 'O', '2']]","[['H', '2'], ['H', '2'], ['H', '2'], ['H', '2'], ['H', '2']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['1', 'O', 'H', '2'], ['2', '1', 'O', 'H'], ['O', '1', '2', 'H'], ['2', 'O', '1', 'H'], ['1', 'H', 'O', '2']]","[['1', 'H'], ['2', 'H'], ['O', 'H'], ['2', 'H'], ['1', 'H']]","['MATCHING_BIAS', 'CORRECT', 'LOGIC_ERROR', 'CORRECT', 'MATCHING_BIAS']","[['1', 'O', 'H', '2'], ['2', '1', 'O', 'H'], ['O', '1', '2', 'H'], ['2', 'O', '1', 'H'], ['1', 'H', 'O', '2']]","[['H', '1'], ['H', '1'], ['H', '2'], ['H', '1'], ['H', '1']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['1', 'O', 'H', '2'], ['2', '1', 'O', 'H'], ['O', '1', '2', 'H'], ['2', 'O', '1', 'H'], ['1', 'H', 'O', '2']]","[['H', 'O'], ['2', 'O'], ['O', '2'], ['2', 'O'], ['H', 'O', '2']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['1', 'O', 'H', '2'], ['2', '1', 'O', 'H'], ['O', '1', '2', 'H'], ['2', 'O', '1', 'H'], ['1', 'H', 'O', '2']]","[['H', '2'], ['1', 'H'], ['H', '2'], ['O', 'H'], ['H', '2']]","['CORRECT', 'MATCHING_BIAS', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['1', 'O', 'H', '2'], ['2', '1', 'O', 'H'], ['O', '1', '2', 'H'], ['2', 'O', '1', 'H'], ['1', 'H', 'O', '2']]"
T17,"If the letter is T, then the number is Even.","{'T': 'P', 'A': 'not_P', '6': 'Q', '3': 'not_Q'}","Rule: ""If the letter is T, then the number is Even.""
Cards: ['T', 'A', '6', '3']

Which cards must you turn over?
Your answer:",['6'],NOISE,"['T', '3']",CORRECT,"['T', '3']",CORRECT,"['T', '3']",CORRECT,"['T', '3']",CORRECT,"['T', '3']",CORRECT,"[['T', '3'], ['T', '3'], ['3', 'T'], ['3', 'T'], ['T', '3']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['T', '6', 'A', '3'], ['T', '6', '3', 'A'], ['3', '6', 'A', 'T'], ['6', '3', 'T', 'A'], ['T', 'A', '6', '3']]","[['T', '3'], ['T', '3'], ['T', '3'], ['T', '3'], ['T', '3']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['T', '6', 'A', '3'], ['T', '6', '3', 'A'], ['3', '6', 'A', 'T'], ['6', '3', 'T', 'A'], ['T', 'A', '6', '3']]","[['T', '3'], ['T', '3'], ['3', 'T'], ['6', 'T'], ['T', '3']]","['CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['T', '6', 'A', '3'], ['T', '6', '3', 'A'], ['3', '6', 'A', 'T'], ['6', '3', 'T', 'A'], ['T', 'A', '6', '3']]","[['T', '3'], ['T', '6'], ['6', 'T'], ['6', 'T'], ['T', '6']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['T', '6', 'A', '3'], ['T', '6', '3', 'A'], ['3', '6', 'A', 'T'], ['6', '3', 'T', 'A'], ['T', 'A', '6', '3']]","[['T', '3'], ['3', 'A'], ['3', 'A'], ['3', 'A'], ['T', '6', '3']]","['CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'OVER_SELECTION']","[['T', '6', 'A', '3'], ['T', '6', '3', 'A'], ['3', '6', 'A', 'T'], ['6', '3', 'T', 'A'], ['T', 'A', '6', '3']]","[['T', '3'], ['T', '3'], ['6', 'T'], ['T', '3'], ['T', '3']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['T', '6', 'A', '3'], ['T', '6', '3', 'A'], ['3', '6', 'A', 'T'], ['6', '3', 'T', 'A'], ['T', 'A', '6', '3']]"
T18,"If the number is 10, then the letter is J.","{'10': 'P', '5': 'not_P', 'J': 'Q', 'K': 'not_Q'}","Rule: ""If the number is 10, then the letter is J.""
Cards: ['10', '5', 'J', 'K']

Which cards must you turn over?
Your answer:","['10', 'J']",MATCHING_BIAS,"['10', 'J']",MATCHING_BIAS,"['10', 'K']",CORRECT,"['10', 'K']",CORRECT,"['10', 'K']",CORRECT,"['10', 'K']",CORRECT,"[['10', 'K'], ['J', '10'], ['5', '10'], ['10', 'K'], ['5', '10']]","['CORRECT', 'MATCHING_BIAS', 'LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR']","[['10', 'J', 'K', '5'], ['J', '5', 'K', '10'], ['5', 'K', 'J', '10'], ['10', '5', 'K', 'J'], ['5', 'K', '10', 'J']]","[[""'10'"", ""'K'""], ['10', 'J'], ['10', 'J'], ['10', 'K'], ['10', 'K']]","['NOISE', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['10', 'J', 'K', '5'], ['J', '5', 'K', '10'], ['5', 'K', 'J', '10'], ['10', '5', 'K', 'J'], ['5', 'K', '10', 'J']]","[['10', 'J'], ['10', 'J'], ['10', 'J'], ['10', 'J'], ['10', 'J']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['10', 'J', 'K', '5'], ['J', '5', 'K', '10'], ['5', 'K', 'J', '10'], ['10', '5', 'K', 'J'], ['5', 'K', '10', 'J']]","[['10'], ['10'], ['10', '5'], ['10', 'J'], ['10', 'J']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['10', 'J', 'K', '5'], ['J', '5', 'K', '10'], ['5', 'K', 'J', '10'], ['10', '5', 'K', 'J'], ['5', 'K', '10', 'J']]","[['10', 'J'], ['10'], ['10'], ['10', 'K', 'J'], ['5', 'K']]","['MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'OVER_SELECTION', 'LOGIC_ERROR']","[['10', 'J', 'K', '5'], ['J', '5', 'K', '10'], ['5', 'K', 'J', '10'], ['10', '5', 'K', 'J'], ['5', 'K', '10', 'J']]","[['10', 'J'], ['10', '5'], ['10', 'J'], ['10', 'J'], ['10', '5']]","['MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS', 'LOGIC_ERROR']","[['10', 'J', 'K', '5'], ['J', '5', 'K', '10'], ['5', 'K', 'J', '10'], ['10', '5', 'K', 'J'], ['5', 'K', '10', 'J']]"
T19,"If the card shows a Q, then the number is Zero.","{'Q': 'P', 'M': 'not_P', '0': 'Q', '1': 'not_Q'}","Rule: ""If the card shows a Q, then the number is Zero.""
Cards: ['Q', 'M', '0', '1']

Which cards must you turn over?
Your answer:","['Q', '0']",MATCHING_BIAS,"['Q', '1']",CORRECT,"['Q', '1']",CORRECT,"['Q', '1']",CORRECT,"['Q', '1']",CORRECT,"['Q', '1']",CORRECT,"[['Q', '1'], ['Q', '1'], ['Q', '1'], ['Q', '1'], ['1', 'Q']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Q', '1', '0', 'M'], ['1', 'M', 'Q', '0'], ['1', 'Q', '0', 'M'], ['Q', '0', '1', 'M'], ['1', 'M', '0', 'Q']]","[['Q', '1'], ['Q', '0'], ['Q', '1'], ['Q', '1'], ['Q', '1']]","['CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['Q', '1', '0', 'M'], ['1', 'M', 'Q', '0'], ['1', 'Q', '0', 'M'], ['Q', '0', '1', 'M'], ['1', 'M', '0', 'Q']]","[['Q', '1'], ['1', 'Q'], ['1', 'Q'], ['Q', '0'], ['1', 'Q']]","['CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['Q', '1', '0', 'M'], ['1', 'M', 'Q', '0'], ['1', 'Q', '0', 'M'], ['Q', '0', '1', 'M'], ['1', 'M', '0', 'Q']]","[['Q', '0'], ['M', 'Q'], ['Q', '0'], ['Q', '0'], ['M', 'Q']]","['MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS', 'LOGIC_ERROR']","[['Q', '1', '0', 'M'], ['1', 'M', 'Q', '0'], ['1', 'Q', '0', 'M'], ['Q', '0', '1', 'M'], ['1', 'M', '0', 'Q']]","[['Q'], ['M', '0'], ['Q'], ['Q'], ['M']]","['CONFIRMATION_BIAS', 'LOGIC_ERROR', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'LOGIC_ERROR']","[['Q', '1', '0', 'M'], ['1', 'M', 'Q', '0'], ['1', 'Q', '0', 'M'], ['Q', '0', '1', 'M'], ['1', 'M', '0', 'Q']]","[['Q', '1'], ['Q', '0'], ['Q', '0'], ['Q', '1'], ['Q', '0']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['Q', '1', '0', 'M'], ['1', 'M', 'Q', '0'], ['1', 'Q', '0', 'M'], ['Q', '0', '1', 'M'], ['1', 'M', '0', 'Q']]"
T20,"If the letter is M, then the number is Odd.","{'M': 'P', 'A': 'not_P', '3': 'Q', '2': 'not_Q'}","Rule: ""If the letter is M, then the number is Odd.""
Cards: ['M', 'A', '3', '2']

Which cards must you turn over?
Your answer:","['M', '3']",MATCHING_BIAS,"['M', '2']",CORRECT,"['M', '2']",CORRECT,"['M', '2']",CORRECT,"['M', '2']",CORRECT,"['M', '2']",CORRECT,"[['M', '2'], ['M', '2'], ['A', '2'], ['A', '2', 'M'], ['M', '2']]","['CORRECT', 'CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT']","[['3', 'M', 'A', '2'], ['M', '3', '2', 'A'], ['A', '3', 'M', '2'], ['A', '2', '3', 'M'], ['M', '2', 'A', '3']]","[['M', '2'], ['M', '2'], ['M', '2'], ['M', '2'], ['M', '2']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['3', 'M', 'A', '2'], ['M', '3', '2', 'A'], ['A', '3', 'M', '2'], ['A', '2', '3', 'M'], ['M', '2', 'A', '3']]","[['3', 'M'], ['M', '2'], ['M', '2'], ['A', 'M'], ['M', '2']]","['MATCHING_BIAS', 'CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['3', 'M', 'A', '2'], ['M', '3', '2', 'A'], ['A', '3', 'M', '2'], ['A', '2', '3', 'M'], ['M', '2', 'A', '3']]","[['M'], ['M', '3'], ['M'], ['M'], ['M', '3']]","['CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['3', 'M', 'A', '2'], ['M', '3', '2', 'A'], ['A', '3', 'M', '2'], ['A', '2', '3', 'M'], ['M', '2', 'A', '3']]","[['M', '2'], ['M', '3'], ['M', '2'], ['M', '2'], ['M', '2']]","['CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['3', 'M', 'A', '2'], ['M', '3', '2', 'A'], ['A', '3', 'M', '2'], ['A', '2', '3', 'M'], ['M', '2', 'A', '3']]","[['M', '2'], ['M', '2'], ['M', '2'], ['M', '2'], ['M', '2']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['3', 'M', 'A', '2'], ['M', '3', '2', 'A'], ['A', '3', 'M', '2'], ['A', '2', '3', 'M'], ['M', '2', 'A', '3']]"
