Rule Text,JSON Mapping,qwen3.5-397b-a17b_responses,qwen3.5-397b-a17b_categories,qwen3.5-397b-a17b_card_orders,glm-4.7-flash_responses,glm-4.7-flash_categories,glm-4.7-flash_card_orders,qwen3-next-80b-a3b-instruct_responses,qwen3-next-80b-a3b-instruct_categories,qwen3-next-80b-a3b-instruct_card_orders,gemma-3-27b-it_responses,gemma-3-27b-it_categories,gemma-3-27b-it_card_orders,deepseek-v3.2_responses,deepseek-v3.2_categories,deepseek-v3.2_card_orders,gemma-3-12b-it_responses,gemma-3-12b-it_categories,gemma-3-12b-it_card_orders
"If the number is 3, then the symbol is arrow.","{'3': 'P', '7': 'not_P', 'arrow': 'Q', 'spiral': 'not_Q'}","[['3', 'spiral'], ['3', 'spiral'], ['3', 'spiral'], ['3', 'spiral'], ['3', 'spiral']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['7', 'arrow', '3', 'spiral'], ['7', '3', 'spiral', 'arrow'], ['3', '7', 'arrow', 'spiral'], ['arrow', 'spiral', '3', '7'], ['arrow', '3', 'spiral', '7']]","[['3', '7'], ['3', 'spiral'], ['3', 'arrow'], ['3'], ['3']]","['LOGIC_ERROR', 'CORRECT', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['7', 'arrow', '3', 'spiral'], ['7', '3', 'spiral', 'arrow'], ['3', '7', 'arrow', 'spiral'], ['arrow', 'spiral', '3', '7'], ['arrow', '3', 'spiral', '7']]","[[""'3'"", ""'spiral'""], [""'3'"", ""'spiral'""], [""'3'"", ""'spiral'""], [""'3'"", ""'spiral'""], [""'3'"", ""'spiral'""]]","['NOISE', 'NOISE', 'NOISE', 'NOISE', 'NOISE']","[['7', 'arrow', '3', 'spiral'], ['7', '3', 'spiral', 'arrow'], ['3', '7', 'arrow', 'spiral'], ['arrow', 'spiral', '3', '7'], ['arrow', '3', 'spiral', '7']]","[['7', '3'], ['7', '3'], ['3', 'arrow'], ['3', 'arrow'], ['3', 'arrow']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['7', 'arrow', '3', 'spiral'], ['7', '3', 'spiral', 'arrow'], ['3', '7', 'arrow', 'spiral'], ['arrow', 'spiral', '3', '7'], ['arrow', '3', 'spiral', '7']]","[['3', '7'], ['3', 'spiral'], ['3', 'arrow'], ['3', 'spiral'], ['3', 'spiral']]","['LOGIC_ERROR', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['7', 'arrow', '3', 'spiral'], ['7', '3', 'spiral', 'arrow'], ['3', '7', 'arrow', 'spiral'], ['arrow', 'spiral', '3', '7'], ['arrow', '3', 'spiral', '7']]","[['3'], ['3', 'arrow'], ['3', 'arrow'], ['3'], ['3']]","['CONFIRMATION_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['7', 'arrow', '3', 'spiral'], ['7', '3', 'spiral', 'arrow'], ['3', '7', 'arrow', 'spiral'], ['arrow', 'spiral', '3', '7'], ['arrow', '3', 'spiral', '7']]"
"If the letter is Z, then the number is 0.","{'Z': 'P', 'Q': 'not_P', '0': 'Q', '5': 'not_Q'}","[['Z', '5'], ['Q', 'Z'], ['Q', 'Z', '5'], ['Q', '5'], ['Z', '5']]","['CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT']","[['5', 'Z', 'Q', '0'], ['Q', '5', '0', 'Z'], ['Q', 'Z', '5', '0'], ['0', 'Q', '5', 'Z'], ['Z', 'Q', '5', '0']]","[['Z', '0'], ['Z'], ['Z', '0'], ['Z', '0'], ['Z', '5']]","['MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT']","[['5', 'Z', 'Q', '0'], ['Q', '5', '0', 'Z'], ['Q', 'Z', '5', '0'], ['0', 'Q', '5', 'Z'], ['Z', 'Q', '5', '0']]","[['Z', '5'], ['Z', '5'], ['Z', '5'], ['Z'], ['Z', '5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS', 'CORRECT']","[['5', 'Z', 'Q', '0'], ['Q', '5', '0', 'Z'], ['Q', 'Z', '5', '0'], ['0', 'Q', '5', 'Z'], ['Z', 'Q', '5', '0']]","[['5', 'Z'], ['Z', '0'], ['Z', '0'], ['0', 'Z'], ['Z', '5']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT']","[['5', 'Z', 'Q', '0'], ['Q', '5', '0', 'Z'], ['Q', 'Z', '5', '0'], ['0', 'Q', '5', 'Z'], ['Z', 'Q', '5', '0']]","[['Z', '0'], ['Z', '5'], ['Z', '5'], ['Z', '0'], ['Z', '0']]","['MATCHING_BIAS', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['5', 'Z', 'Q', '0'], ['Q', '5', '0', 'Z'], ['Q', 'Z', '5', '0'], ['0', 'Q', '5', 'Z'], ['Z', 'Q', '5', '0']]","[['Z', '0'], ['Z', '0'], ['Z', '0'], ['0', 'Z'], ['Z', '0']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['5', 'Z', 'Q', '0'], ['Q', '5', '0', 'Z'], ['Q', 'Z', '5', '0'], ['0', 'Q', '5', 'Z'], ['Z', 'Q', '5', '0']]"
"If the pattern is grid, then the color is blue.","{'grid': 'P', 'solid': 'not_P', 'blue': 'Q', 'yellow': 'not_Q'}","[['grid', 'yellow'], ['grid', 'yellow'], ['grid', 'yellow'], ['yellow', 'grid'], ['grid', 'yellow']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['blue', 'grid', 'yellow', 'solid'], ['grid', 'solid', 'yellow', 'blue'], ['blue', 'yellow', 'grid', 'solid'], ['yellow', 'solid', 'blue', 'grid'], ['blue', 'grid', 'solid', 'yellow']]","[['grid'], ['grid'], ['grid'], ['grid', 'yellow'], ['blue', 'grid']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['blue', 'grid', 'yellow', 'solid'], ['grid', 'solid', 'yellow', 'blue'], ['blue', 'yellow', 'grid', 'solid'], ['yellow', 'solid', 'blue', 'grid'], ['blue', 'grid', 'solid', 'yellow']]","[['grid'], ['grid', 'yellow'], ['grid'], ['blue', 'grid'], ['grid', 'yellow']]","['CONFIRMATION_BIAS', 'CORRECT', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CORRECT']","[['blue', 'grid', 'yellow', 'solid'], ['grid', 'solid', 'yellow', 'blue'], ['blue', 'yellow', 'grid', 'solid'], ['yellow', 'solid', 'blue', 'grid'], ['blue', 'grid', 'solid', 'yellow']]","[['grid', 'blue'], ['grid', 'yellow'], ['grid', 'blue'], ['grid', 'yellow'], ['grid', 'blue']]","['MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['blue', 'grid', 'yellow', 'solid'], ['grid', 'solid', 'yellow', 'blue'], ['blue', 'yellow', 'grid', 'solid'], ['yellow', 'solid', 'blue', 'grid'], ['blue', 'grid', 'solid', 'yellow']]","[['grid', 'yellow'], ['grid', 'solid'], ['grid', 'yellow'], ['grid', 'yellow'], ['grid', 'solid']]","['CORRECT', 'LOGIC_ERROR', 'CORRECT', 'CORRECT', 'LOGIC_ERROR']","[['blue', 'grid', 'yellow', 'solid'], ['grid', 'solid', 'yellow', 'blue'], ['blue', 'yellow', 'grid', 'solid'], ['yellow', 'solid', 'blue', 'grid'], ['blue', 'grid', 'solid', 'yellow']]","[['blue', 'grid'], ['grid', 'blue'], ['yellow', 'solid'], ['yellow', 'solid'], ['blue', 'grid']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'LOGIC_ERROR', 'LOGIC_ERROR', 'MATCHING_BIAS']","[['blue', 'grid', 'yellow', 'solid'], ['grid', 'solid', 'yellow', 'blue'], ['blue', 'yellow', 'grid', 'solid'], ['yellow', 'solid', 'blue', 'grid'], ['blue', 'grid', 'solid', 'yellow']]"
"If the shape is hexagon, then the number is 6.","{'hexagon': 'P', 'triangle': 'not_P', '6': 'Q', '3': 'not_Q'}","[['hexagon', '3'], ['hexagon', '3'], ['triangle', 'hexagon'], ['hexagon', '3'], ['6', 'hexagon']]","['CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT', 'MATCHING_BIAS']","[['hexagon', '3', 'triangle', '6'], ['6', 'hexagon', '3', 'triangle'], ['triangle', '3', '6', 'hexagon'], ['3', 'hexagon', '6', 'triangle'], ['3', 'triangle', '6', 'hexagon']]","[['hexagon', '3'], ['hexagon', '3'], ['hexagon', '3'], ['hexagon', '3'], ['3', 'triangle']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR']","[['hexagon', '3', 'triangle', '6'], ['6', 'hexagon', '3', 'triangle'], ['triangle', '3', '6', 'hexagon'], ['3', 'hexagon', '6', 'triangle'], ['3', 'triangle', '6', 'hexagon']]","[['hexagon', '3'], ['hexagon', '3'], ['hexagon', '3'], ['hexagon', '3'], [""'triangle'"", ""'6'""]]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'NOISE']","[['hexagon', '3', 'triangle', '6'], ['6', 'hexagon', '3', 'triangle'], ['triangle', '3', '6', 'hexagon'], ['3', 'hexagon', '6', 'triangle'], ['3', 'triangle', '6', 'hexagon']]","[['hexagon', '3'], ['hexagon', '6'], ['triangle', 'hexagon'], ['hexagon', '6'], ['hexagon', '3']]","['CORRECT', 'MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS', 'CORRECT']","[['hexagon', '3', 'triangle', '6'], ['6', 'hexagon', '3', 'triangle'], ['triangle', '3', '6', 'hexagon'], ['3', 'hexagon', '6', 'triangle'], ['3', 'triangle', '6', 'hexagon']]","[['hexagon', '3'], ['hexagon', '3'], ['hexagon', '3'], ['hexagon', '3'], ['6', 'triangle']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR']","[['hexagon', '3', 'triangle', '6'], ['6', 'hexagon', '3', 'triangle'], ['triangle', '3', '6', 'hexagon'], ['3', 'hexagon', '6', 'triangle'], ['3', 'triangle', '6', 'hexagon']]","[['hexagon', '3', 'triangle'], ['3', 'triangle'], ['triangle', '3', 'hexagon'], ['3', 'triangle'], ['triangle', '3']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['hexagon', '3', 'triangle', '6'], ['6', 'hexagon', '3', 'triangle'], ['triangle', '3', '6', 'hexagon'], ['3', 'hexagon', '6', 'triangle'], ['3', 'triangle', '6', 'hexagon']]"
"If the digit is 9, then the letter is W.","{'9': 'P', '4': 'not_P', 'W': 'Q', 'F': 'not_Q'}","[['9', 'F'], ['F', '9'], ['F', '9'], ['9', 'F'], ['9', 'F']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['W', '4', '9', 'F'], ['F', 'W', '4', '9'], ['W', 'F', '4', '9'], ['9', '4', 'W', 'F'], ['F', '9', '4', 'W']]","[['9'], ['W', '9'], ['9'], ['9', 'W'], ['9', 'W']]","['CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['W', '4', '9', 'F'], ['F', 'W', '4', '9'], ['W', 'F', '4', '9'], ['9', '4', 'W', 'F'], ['F', '9', '4', 'W']]","[['9', 'F'], ['W', '9'], ['W', '9'], [""'9'"", ""'F'""], ['9', 'F']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'NOISE', 'CORRECT']","[['W', '4', '9', 'F'], ['F', 'W', '4', '9'], ['W', 'F', '4', '9'], ['9', '4', 'W', 'F'], ['F', '9', '4', 'W']]","[['W', '9'], ['9', 'F'], ['9', 'W'], ['9', 'W'], ['9', 'F']]","['MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT']","[['W', '4', '9', 'F'], ['F', 'W', '4', '9'], ['W', 'F', '4', '9'], ['9', '4', 'W', 'F'], ['F', '9', '4', 'W']]","[['9', 'F'], ['9', 'F'], ['9', 'W'], ['9', 'W'], ['9', 'F']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT']","[['W', '4', '9', 'F'], ['F', 'W', '4', '9'], ['W', 'F', '4', '9'], ['9', '4', 'W', 'F'], ['F', '9', '4', 'W']]","[['4', 'F'], ['F', '4'], ['4', '9'], ['9', 'W'], ['9', 'W']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['W', '4', '9', 'F'], ['F', 'W', '4', '9'], ['W', 'F', '4', '9'], ['9', '4', 'W', 'F'], ['F', '9', '4', 'W']]"
"If the cell is shaded, then the symbol is diamond.","{'shaded': 'P', 'empty': 'not_P', 'diamond': 'Q', 'circle': 'not_Q'}","[['shaded', 'circle'], ['shaded', 'circle'], ['shaded', 'circle'], ['shaded', 'circle'], ['circle', 'shaded']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['empty', 'shaded', 'diamond', 'circle'], ['shaded', 'empty', 'diamond', 'circle'], ['circle', 'empty', 'diamond', 'shaded'], ['shaded', 'diamond', 'empty', 'circle'], ['diamond', 'circle', 'empty', 'shaded']]","[['shaded', 'circle'], ['shaded', 'circle'], ['shaded', 'circle'], ['shaded', 'circle'], ['shaded', 'circle']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['empty', 'shaded', 'diamond', 'circle'], ['shaded', 'empty', 'diamond', 'circle'], ['circle', 'empty', 'diamond', 'shaded'], ['shaded', 'diamond', 'empty', 'circle'], ['diamond', 'circle', 'empty', 'shaded']]","[['shaded', 'circle'], ['shaded', 'circle'], ['shaded', 'circle'], ['shaded', 'circle'], ['shaded']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['empty', 'shaded', 'diamond', 'circle'], ['shaded', 'empty', 'diamond', 'circle'], ['circle', 'empty', 'diamond', 'shaded'], ['shaded', 'diamond', 'empty', 'circle'], ['diamond', 'circle', 'empty', 'shaded']]","[['shaded', 'empty'], ['shaded', 'empty'], ['shaded', 'empty'], ['shaded', 'empty'], ['shaded', 'empty']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['empty', 'shaded', 'diamond', 'circle'], ['shaded', 'empty', 'diamond', 'circle'], ['circle', 'empty', 'diamond', 'shaded'], ['shaded', 'diamond', 'empty', 'circle'], ['diamond', 'circle', 'empty', 'shaded']]","[['shaded', 'circle'], ['shaded', 'empty', 'circle'], ['shaded', 'circle'], ['shaded', 'empty'], ['shaded', 'circle']]","['CORRECT', 'LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['empty', 'shaded', 'diamond', 'circle'], ['shaded', 'empty', 'diamond', 'circle'], ['circle', 'empty', 'diamond', 'shaded'], ['shaded', 'diamond', 'empty', 'circle'], ['diamond', 'circle', 'empty', 'shaded']]","[['shaded', 'diamond'], ['shaded', 'empty'], ['shaded'], ['shaded', 'diamond'], ['shaded']]","['MATCHING_BIAS', 'LOGIC_ERROR', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['empty', 'shaded', 'diamond', 'circle'], ['shaded', 'empty', 'diamond', 'circle'], ['circle', 'empty', 'diamond', 'shaded'], ['shaded', 'diamond', 'empty', 'circle'], ['diamond', 'circle', 'empty', 'shaded']]"
"If the shape has four sides, then the color is orange.","{'four_sides': 'P', 'three_sides': 'not_P', 'orange': 'Q', 'purple': 'not_Q'}","[['four_sides', 'purple'], ['purple', 'four_sides'], ['three_sides', 'four_sides'], ['four_sides', 'purple'], ['purple', 'four_sides']]","['CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT', 'CORRECT']","[['three_sides', 'orange', 'four_sides', 'purple'], ['purple', 'three_sides', 'four_sides', 'orange'], ['three_sides', 'purple', 'four_sides', 'orange'], ['four_sides', 'three_sides', 'orange', 'purple'], ['purple', 'orange', 'three_sides', 'four_sides']]","[['four_sides'], ['four_sides', 'orange'], ['four_sides', 'purple'], ['four_sides', 'purple'], ['four_sides']]","['CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['three_sides', 'orange', 'four_sides', 'purple'], ['purple', 'three_sides', 'four_sides', 'orange'], ['three_sides', 'purple', 'four_sides', 'orange'], ['four_sides', 'three_sides', 'orange', 'purple'], ['purple', 'orange', 'three_sides', 'four_sides']]","[['four_sides', 'purple'], ['four_sides', 'purple'], ['four_sides', 'purple'], ['four_sides', 'purple'], ['orange', 'three_sides']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR']","[['three_sides', 'orange', 'four_sides', 'purple'], ['purple', 'three_sides', 'four_sides', 'orange'], ['three_sides', 'purple', 'four_sides', 'orange'], ['four_sides', 'three_sides', 'orange', 'purple'], ['purple', 'orange', 'three_sides', 'four_sides']]","[['four_sides', 'purple'], ['four_sides', 'purple'], ['four_sides', 'purple'], ['four_sides', 'purple'], ['four_sides', 'purple']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['three_sides', 'orange', 'four_sides', 'purple'], ['purple', 'three_sides', 'four_sides', 'orange'], ['three_sides', 'purple', 'four_sides', 'orange'], ['four_sides', 'three_sides', 'orange', 'purple'], ['purple', 'orange', 'three_sides', 'four_sides']]","[['four_sides', 'purple'], ['four_sides', 'purple'], ['four_sides', 'purple'], ['four_sides', 'purple'], ['four_sides', 'purple']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['three_sides', 'orange', 'four_sides', 'purple'], ['purple', 'three_sides', 'four_sides', 'orange'], ['three_sides', 'purple', 'four_sides', 'orange'], ['four_sides', 'three_sides', 'orange', 'purple'], ['purple', 'orange', 'three_sides', 'four_sides']]","[['three_sides', 'purple'], ['purple', 'three_sides'], ['three_sides', 'purple'], ['four_sides', 'three_sides', 'purple'], ['purple', 'three_sides']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['three_sides', 'orange', 'four_sides', 'purple'], ['purple', 'three_sides', 'four_sides', 'orange'], ['three_sides', 'purple', 'four_sides', 'orange'], ['four_sides', 'three_sides', 'orange', 'purple'], ['purple', 'orange', 'three_sides', 'four_sides']]"
"If the token is delta, then the code is 99.","{'delta': 'P', 'gamma': 'not_P', '99': 'Q', '00': 'not_Q'}","[['delta', '00'], ['delta', '00'], ['delta', '00'], ['delta', '00'], ['delta', '00']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['99', '00', 'delta', 'gamma'], ['delta', '00', '99', 'gamma'], ['99', 'gamma', 'delta', '00'], ['gamma', '00', '99', 'delta'], ['delta', 'gamma', '00', '99']]","[['99', 'delta'], ['delta', '00'], ['99', 'delta'], ['99', 'delta'], ['delta', '00']]","['MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT']","[['99', '00', 'delta', 'gamma'], ['delta', '00', '99', 'gamma'], ['99', 'gamma', 'delta', '00'], ['gamma', '00', '99', 'delta'], ['delta', 'gamma', '00', '99']]","[['delta', '00'], ['delta', '00'], ['delta', '00'], ['delta', '00'], ['delta', '00']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['99', '00', 'delta', 'gamma'], ['delta', '00', '99', 'gamma'], ['99', 'gamma', 'delta', '00'], ['gamma', '00', '99', 'delta'], ['delta', 'gamma', '00', '99']]","[['delta', '99'], ['delta', '00'], ['delta', '99'], ['delta', '00'], ['delta', '00']]","['MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['99', '00', 'delta', 'gamma'], ['delta', '00', '99', 'gamma'], ['99', 'gamma', 'delta', '00'], ['gamma', '00', '99', 'delta'], ['delta', 'gamma', '00', '99']]","[['delta', '99'], ['delta', '00'], ['delta', '99'], ['delta', '00'], ['delta', '00']]","['MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['99', '00', 'delta', 'gamma'], ['delta', '00', '99', 'gamma'], ['99', 'gamma', 'delta', '00'], ['gamma', '00', '99', 'delta'], ['delta', 'gamma', '00', '99']]","[['99', 'delta'], ['delta', '99'], ['delta'], ['delta'], ['delta', '99']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['99', '00', 'delta', 'gamma'], ['delta', '00', '99', 'gamma'], ['99', 'gamma', 'delta', '00'], ['gamma', '00', '99', 'delta'], ['delta', 'gamma', '00', '99']]"
"If the figure is small, then the border is dashed.","{'small': 'P', 'large': 'not_P', 'dashed': 'Q', 'solid': 'not_Q'}","[['small', 'solid'], ['small', 'solid'], ['dashed', 'solid', 'large', 'small'], ['small', 'solid'], ['small', 'solid']]","['CORRECT', 'CORRECT', 'ALL_CARDS', 'CORRECT', 'CORRECT']","[['solid', 'small', 'large', 'dashed'], ['solid', 'large', 'dashed', 'small'], ['dashed', 'solid', 'large', 'small'], ['small', 'solid', 'dashed', 'large'], ['solid', 'small', 'dashed', 'large']]","[['small', 'dashed'], ['small', 'solid'], ['small', 'dashed'], ['small', 'solid'], ['small', 'solid']]","['MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['solid', 'small', 'large', 'dashed'], ['solid', 'large', 'dashed', 'small'], ['dashed', 'solid', 'large', 'small'], ['small', 'solid', 'dashed', 'large'], ['solid', 'small', 'dashed', 'large']]","[['small', 'solid'], ['small', 'solid'], ['small', 'solid'], ['small', 'solid'], ['small', 'solid']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['solid', 'small', 'large', 'dashed'], ['solid', 'large', 'dashed', 'small'], ['dashed', 'solid', 'large', 'small'], ['small', 'solid', 'dashed', 'large'], ['solid', 'small', 'dashed', 'large']]","[['small', 'solid'], ['small', 'solid'], ['small', 'dashed'], ['small', 'solid'], ['small', 'solid']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['solid', 'small', 'large', 'dashed'], ['solid', 'large', 'dashed', 'small'], ['dashed', 'solid', 'large', 'small'], ['small', 'solid', 'dashed', 'large'], ['solid', 'small', 'dashed', 'large']]","[['small', 'solid'], ['small', 'solid'], ['small', 'solid'], ['small', 'solid'], ['small', 'solid']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['solid', 'small', 'large', 'dashed'], ['solid', 'large', 'dashed', 'small'], ['dashed', 'solid', 'large', 'small'], ['small', 'solid', 'dashed', 'large'], ['solid', 'small', 'dashed', 'large']]","[['small', 'dashed'], ['solid', 'large', 'dashed', 'small'], ['dashed', 'solid', 'large', 'small'], ['small', 'solid', 'dashed', 'large'], ['small', 'dashed']]","['MATCHING_BIAS', 'ALL_CARDS', 'ALL_CARDS', 'ALL_CARDS', 'MATCHING_BIAS']","[['solid', 'small', 'large', 'dashed'], ['solid', 'large', 'dashed', 'small'], ['dashed', 'solid', 'large', 'small'], ['small', 'solid', 'dashed', 'large'], ['solid', 'small', 'dashed', 'large']]"
"If the letter is I, then the digit is 1.","{'I': 'P', 'T': 'not_P', '1': 'Q', '6': 'not_Q'}","[['T', 'I', '6'], ['I', '6'], ['T', '6'], ['I', '6'], ['T', 'I']]","['LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR']","[['T', '1', 'I', '6'], ['1', 'I', '6', 'T'], ['T', '6', 'I', '1'], ['1', 'I', 'T', '6'], ['T', '1', '6', 'I']]","[['I'], ['I', '6'], ['I', '6'], ['1', 'I'], ['I']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['T', '1', 'I', '6'], ['1', 'I', '6', 'T'], ['T', '6', 'I', '1'], ['1', 'I', 'T', '6'], ['T', '1', '6', 'I']]","[['I', '6'], [""'I'"", ""'6'""], ['I', '6'], ['I', '6'], ['I', '6']]","['CORRECT', 'NOISE', 'CORRECT', 'CORRECT', 'CORRECT']","[['T', '1', 'I', '6'], ['1', 'I', '6', 'T'], ['T', '6', 'I', '1'], ['1', 'I', 'T', '6'], ['T', '1', '6', 'I']]","[['I', '6'], ['1', 'I'], ['I', '1'], ['1', 'I'], ['T', 'I']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'LOGIC_ERROR']","[['T', '1', 'I', '6'], ['1', 'I', '6', 'T'], ['T', '6', 'I', '1'], ['1', 'I', 'T', '6'], ['T', '1', '6', 'I']]","[['I', '1'], ['I', '1'], ['I', '6'], ['1', 'I'], ['I', '6']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['T', '1', 'I', '6'], ['1', 'I', '6', 'T'], ['T', '6', 'I', '1'], ['1', 'I', 'T', '6'], ['T', '1', '6', 'I']]","[['T', '6'], ['I', '1'], ['T', '6'], ['I', '1'], ['I', '1']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['T', '1', 'I', '6'], ['1', 'I', '6', 'T'], ['T', '6', 'I', '1'], ['1', 'I', 'T', '6'], ['T', '1', '6', 'I']]"
