ID,Rule Text,JSON Mapping,prompt,llama-3.2-3b-instruct_response,llama-3.2-3b-instruct_category,qwen3-30b-a3b-instruct-2507_response,qwen3-30b-a3b-instruct-2507_category,gpt-5.2_response,gpt-5.2_category,claude-sonnet-4.5_response,claude-sonnet-4.5_category,qwen3-30b-a3b_response,qwen3-30b-a3b_category,qwen3-8b-reasoning_response,qwen3-8b-reasoning_category,claude-sonnet-4.6_responses,claude-sonnet-4.6_categories,claude-sonnet-4.6_card_orders,grok-4.1-fast_responses,grok-4.1-fast_categories,grok-4.1-fast_card_orders,gpt-5.2_responses,gpt-5.2_categories,gpt-5.2_card_orders
T11,"If the letter is K, then the number is 4.","{'K': 'P', 'A': 'not_P', '4': 'Q', '9': 'not_Q'}","Rule: ""If the letter is K, then the number is 4.""
Cards: ['K', 'A', '4', '9']

Which cards must you turn over?
Your answer:","['K', '4']",MATCHING_BIAS,"['K', '9']",CORRECT,"['K', '9']",CORRECT,"['K', '9']",CORRECT,"['K', '9']",CORRECT,"['K', '9']",CORRECT,"[['9', 'K'], ['K', '9'], ['K', '9'], ['K', '9'], ['K', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'A', '4', 'K'], ['4', 'A', 'K', '9'], ['A', '9', 'K', '4'], ['9', 'K', '4', 'A'], ['4', '9', 'A', 'K']]","[['K', '9'], ['K', '9'], ['K'], ['9', 'K'], ['K']]","['CORRECT', 'CORRECT', 'CONFIRMATION_BIAS', 'CORRECT', 'CONFIRMATION_BIAS']","[['9', 'A', '4', 'K'], ['4', 'A', 'K', '9'], ['A', '9', 'K', '4'], ['9', 'K', '4', 'A'], ['4', '9', 'A', 'K']]","[['9', 'K'], ['K', '9'], ['K', '9'], ['K', '9'], ['9', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'A', '4', 'K'], ['4', 'A', 'K', '9'], ['A', '9', 'K', '4'], ['9', 'K', '4', 'A'], ['4', '9', 'A', 'K']]"
T12,"If the number is 6, then the letter is S.","{'6': 'P', '9': 'not_P', 'S': 'Q', 'P': 'not_Q'}","Rule: ""If the number is 6, then the letter is S.""
Cards: ['6', '9', 'S', 'P']

Which cards must you turn over?
Your answer:","['6', '9']",LOGIC_ERROR,"['6', 'S']",MATCHING_BIAS,"['6', 'P']",CORRECT,"['6', 'P']",CORRECT,"['6', 'P']",CORRECT,"['6', 'P']",CORRECT,"[['P', '6'], ['P', '6'], ['P', '6'], ['6', 'P'], ['6', 'P']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'S', 'P', '6'], ['S', 'P', '9', '6'], ['P', 'S', '6', '9'], ['6', 'S', 'P', '9'], ['6', '9', 'P', 'S']]","[['6', 'P'], ['6'], ['P', '6'], ['6', 'P'], ['6', 'P']]","['CORRECT', 'CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'S', 'P', '6'], ['S', 'P', '9', '6'], ['P', 'S', '6', '9'], ['6', 'S', 'P', '9'], ['6', '9', 'P', 'S']]","[['6', 'P'], ['6', '9'], ['P', '6'], ['6', 'P'], ['6', 'P']]","['CORRECT', 'LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'S', 'P', '6'], ['S', 'P', '9', '6'], ['P', 'S', '6', '9'], ['6', 'S', 'P', '9'], ['6', '9', 'P', 'S']]"
T13,"If the letter is R, then the number is Positive.","{'R': 'P', 'L': 'not_P', '5': 'Q', '-5': 'not_Q'}","Rule: ""If the letter is R, then the number is Positive.""
Cards: ['R', 'L', '5', '-5']

Which cards must you turn over?
Your answer:","['R', '5']",MATCHING_BIAS,"['R', '-5']",CORRECT,"['R', '-5']",CORRECT,"['R', '-5']",CORRECT,"['R', '-5']",CORRECT,"['R', '-5']",CORRECT,"[['R', '-5'], ['R', '-5'], ['R', '-5'], ['R', '-5'], ['R', '-5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['-5', 'R', 'L', '5'], ['R', 'L', '-5', '5'], ['R', '5', 'L', '-5'], ['L', '5', 'R', '-5'], ['5', 'R', '-5', 'L']]","[['R'], ['R', '-5'], ['R', '-5'], ['R', '-5'], ['R', '-5']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['-5', 'R', 'L', '5'], ['R', 'L', '-5', '5'], ['R', '5', 'L', '-5'], ['L', '5', 'R', '-5'], ['5', 'R', '-5', 'L']]","[['R', '-5'], ['R', '-5'], ['R', '-5'], ['R', '-5'], ['R', '-5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['-5', 'R', 'L', '5'], ['R', 'L', '-5', '5'], ['R', '5', 'L', '-5'], ['L', '5', 'R', '-5'], ['5', 'R', '-5', 'L']]"
T14,"If the letter is a Vowel, then the number is Prime.","{'E': 'P', 'T': 'not_P', '7': 'Q', '8': 'not_Q'}","Rule: ""If the letter is a Vowel, then the number is Prime.""
Cards: ['E', 'T', '7', '8']

Which cards must you turn over?
Your answer:","['E', '7']",MATCHING_BIAS,"['E', '8']",CORRECT,"['E', '8']",CORRECT,"['E', '8']",CORRECT,"['E', '8']",CORRECT,[''],NOISE,"[['8', 'E'], ['E', '8'], ['E', '8'], ['E', '8'], ['E', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'T', '7', 'E'], ['E', 'T', '8', '7'], ['7', 'E', '8', 'T'], ['E', 'T', '7', '8'], ['E', '7', '8', 'T']]","[['8', 'E'], ['E'], ['E', '8'], ['E', '8'], ['E', '8']]","['CORRECT', 'CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'T', '7', 'E'], ['E', 'T', '8', '7'], ['7', 'E', '8', 'T'], ['E', 'T', '7', '8'], ['E', '7', '8', 'T']]","[['8', 'E'], ['E', '8'], ['E', '8'], ['E', '8'], ['E', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'T', '7', 'E'], ['E', 'T', '8', '7'], ['7', 'E', '8', 'T'], ['E', 'T', '7', '8'], ['E', '7', '8', 'T']]"
T15,"If the number is 9, then the letter is L.","{'9': 'P', '2': 'not_P', 'L': 'Q', 'R': 'not_Q'}","Rule: ""If the number is 9, then the letter is L.""
Cards: ['9', '2', 'L', 'R']

Which cards must you turn over?
Your answer:","['9', '2']",LOGIC_ERROR,"['9', 'L']",MATCHING_BIAS,"['9', 'R']",CORRECT,"['9', 'R']",CORRECT,"['9', 'R']",CORRECT,"['9', 'R']",CORRECT,"[['9', 'R'], ['9', 'R'], ['9', 'R'], ['R', '9'], ['9', 'R']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['2', 'R', '9', 'L'], ['2', 'L', '9', 'R'], ['9', 'L', '2', 'R'], ['R', '2', 'L', '9'], ['2', 'R', 'L', '9']]","[['9', 'L'], ['9', 'R'], ['9', 'R'], ['9'], ['9', 'R']]","['MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS', 'CORRECT']","[['2', 'R', '9', 'L'], ['2', 'L', '9', 'R'], ['9', 'L', '2', 'R'], ['R', '2', 'L', '9'], ['2', 'R', 'L', '9']]","[['9', 'R'], ['9', 'R'], ['9', 'R'], ['9', 'R'], ['9', 'R']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['2', 'R', '9', 'L'], ['2', 'L', '9', 'R'], ['9', 'L', '2', 'R'], ['R', '2', 'L', '9'], ['2', 'R', 'L', '9']]"
T16,"If there is an H on one side, there is a 1 on the other side.","{'H': 'P', 'O': 'not_P', '1': 'Q', '2': 'not_Q'}","Rule: ""If there is an H on one side, there is a 1 on the other side.""
Cards: ['H', 'O', '1', '2']

Which cards must you turn over?
Your answer:","['H', '1']",MATCHING_BIAS,"['H', '1']",MATCHING_BIAS,"['H', '2']",CORRECT,"['H', '2']",CORRECT,"['H', '2']",CORRECT,[''],NOISE,"[['H', 'O', '2'], ['H', '2', 'O'], ['H', '2'], ['H', '2'], ['H', 'O', '2']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT', 'CORRECT', 'LOGIC_ERROR']","[['1', 'O', 'H', '2'], ['2', '1', 'O', 'H'], ['O', '1', '2', 'H'], ['2', 'O', '1', 'H'], ['1', 'H', 'O', '2']]","[['H'], ['H'], ['H', '2'], ['2', 'H'], ['H', '2']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['1', 'O', 'H', '2'], ['2', '1', 'O', 'H'], ['O', '1', '2', 'H'], ['2', 'O', '1', 'H'], ['1', 'H', 'O', '2']]","[['H', '2'], ['H', '2'], ['O', 'H'], ['2', 'H'], ['H', '2']]","['CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT', 'CORRECT']","[['1', 'O', 'H', '2'], ['2', '1', 'O', 'H'], ['O', '1', '2', 'H'], ['2', 'O', '1', 'H'], ['1', 'H', 'O', '2']]"
T17,"If the letter is T, then the number is Even.","{'T': 'P', 'A': 'not_P', '6': 'Q', '3': 'not_Q'}","Rule: ""If the letter is T, then the number is Even.""
Cards: ['T', 'A', '6', '3']

Which cards must you turn over?
Your answer:",['6'],NOISE,"['T', '3']",CORRECT,"['T', '3']",CORRECT,"['T', '3']",CORRECT,"['T', '3']",CORRECT,"['T', '3']",CORRECT,"[['T', '3'], ['T', '3'], ['3', 'T'], ['T', '3'], ['T', '3']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['T', '6', 'A', '3'], ['T', '6', '3', 'A'], ['3', '6', 'A', 'T'], ['6', '3', 'T', 'A'], ['T', 'A', '6', '3']]","[['T', '3'], ['T', '3'], ['T', '3'], ['3', 'T'], ['T', '3']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['T', '6', 'A', '3'], ['T', '6', '3', 'A'], ['3', '6', 'A', 'T'], ['6', '3', 'T', 'A'], ['T', 'A', '6', '3']]","[['T', '3'], ['T', '3'], ['3', 'T'], ['T', '3'], ['T', '3']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['T', '6', 'A', '3'], ['T', '6', '3', 'A'], ['3', '6', 'A', 'T'], ['6', '3', 'T', 'A'], ['T', 'A', '6', '3']]"
T18,"If the number is 10, then the letter is J.","{'10': 'P', '5': 'not_P', 'J': 'Q', 'K': 'not_Q'}","Rule: ""If the number is 10, then the letter is J.""
Cards: ['10', '5', 'J', 'K']

Which cards must you turn over?
Your answer:","['10', 'J']",MATCHING_BIAS,"['10', 'J']",MATCHING_BIAS,"['10', 'K']",CORRECT,"['10', 'K']",CORRECT,"['10', 'K']",CORRECT,"['10', 'K']",CORRECT,"[['10', 'K'], ['K', '10'], ['10', 'K'], ['10', 'K'], ['10', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['10', 'J', 'K', '5'], ['J', '5', 'K', '10'], ['5', 'K', 'J', '10'], ['10', '5', 'K', 'J'], ['5', 'K', '10', 'J']]","[['10', 'K'], ['10', 'K'], ['K', '10'], ['10', 'K'], ['10', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['10', 'J', 'K', '5'], ['J', '5', 'K', '10'], ['5', 'K', 'J', '10'], ['10', '5', 'K', 'J'], ['5', 'K', '10', 'J']]","[['10', 'K'], ['K', '10'], ['J', '10'], ['10', 'K'], ['10', 'K']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['10', 'J', 'K', '5'], ['J', '5', 'K', '10'], ['5', 'K', 'J', '10'], ['10', '5', 'K', 'J'], ['5', 'K', '10', 'J']]"
T19,"If the card shows a Q, then the number is Zero.","{'Q': 'P', 'M': 'not_P', '0': 'Q', '1': 'not_Q'}","Rule: ""If the card shows a Q, then the number is Zero.""
Cards: ['Q', 'M', '0', '1']

Which cards must you turn over?
Your answer:","['Q', '0']",MATCHING_BIAS,"['Q', '1']",CORRECT,"['Q', '1']",CORRECT,"['Q', '1']",CORRECT,"['Q', '1']",CORRECT,"['Q', '1']",CORRECT,"[['Q', '1'], ['Q', '1'], ['Q', '1'], ['Q', '1', 'M'], ['Q', '1']]","['CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['Q', '1', '0', 'M'], ['1', 'M', 'Q', '0'], ['1', 'Q', '0', 'M'], ['Q', '0', '1', 'M'], ['1', 'M', '0', 'Q']]","[['Q', 'M'], ['Q'], ['Q', '1'], ['Q', '1', 'M'], ['Q', '1']]","['LOGIC_ERROR', 'CONFIRMATION_BIAS', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['Q', '1', '0', 'M'], ['1', 'M', 'Q', '0'], ['1', 'Q', '0', 'M'], ['Q', '0', '1', 'M'], ['1', 'M', '0', 'Q']]","[['Q', '1'], ['Q', '1'], ['Q', '1'], ['Q', '1'], ['1', 'Q']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Q', '1', '0', 'M'], ['1', 'M', 'Q', '0'], ['1', 'Q', '0', 'M'], ['Q', '0', '1', 'M'], ['1', 'M', '0', 'Q']]"
T20,"If the letter is M, then the number is Odd.","{'M': 'P', 'A': 'not_P', '3': 'Q', '2': 'not_Q'}","Rule: ""If the letter is M, then the number is Odd.""
Cards: ['M', 'A', '3', '2']

Which cards must you turn over?
Your answer:","['M', '3']",MATCHING_BIAS,"['M', '2']",CORRECT,"['M', '2']",CORRECT,"['M', '2']",CORRECT,"['M', '2']",CORRECT,"['M', '2']",CORRECT,"[['M', '2'], ['M', '2'], ['M', '2'], ['M', '2'], ['M', '2']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['3', 'M', 'A', '2'], ['M', '3', '2', 'A'], ['A', '3', 'M', '2'], ['A', '2', '3', 'M'], ['M', '2', 'A', '3']]","[['3', 'M'], ['M', '2'], ['M', '2'], ['M', '2'], ['M', '2']]","['MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['3', 'M', 'A', '2'], ['M', '3', '2', 'A'], ['A', '3', 'M', '2'], ['A', '2', '3', 'M'], ['M', '2', 'A', '3']]","[['M', '2'], ['M', '2'], ['M', '2'], ['M', '2'], ['M', '2']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['3', 'M', 'A', '2'], ['M', '3', '2', 'A'], ['A', '3', 'M', '2'], ['A', '2', '3', 'M'], ['M', '2', 'A', '3']]"
T21,"If the number is Less than 5, then the letter is A.","{'2': 'P', '8': 'not_P', 'A': 'Q', 'B': 'not_Q'}","Rule: ""If the number is Less than 5, then the letter is A.""
Cards: ['2', '8', 'A', 'B']

Which cards must you turn over?
Your answer:","['2', '8']",LOGIC_ERROR,"['2', 'A']",MATCHING_BIAS,"['2', 'B']",CORRECT,"['2', 'B']",CORRECT,"['2', 'B']",CORRECT,"['2', 'B']",CORRECT,"[['B', '2'], ['B', '2'], ['2', 'B'], ['B', '2'], ['2', 'B']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '8', '2'], ['A', '8', 'B', '2'], ['8', '2', 'A', 'B'], ['A', 'B', '8', '2'], ['8', 'A', '2', 'B']]","[['**ANSWER: 2', 'B**'], ['B', '2'], ['2', 'B'], ['B', '2'], ['2', 'B']]","['NOISE', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '8', '2'], ['A', '8', 'B', '2'], ['8', '2', 'A', 'B'], ['A', 'B', '8', '2'], ['8', 'A', '2', 'B']]","[['B', '2'], ['B', '2'], ['2', 'B'], ['B', '2'], ['2', 'B']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '8', '2'], ['A', '8', 'B', '2'], ['8', '2', 'A', 'B'], ['A', 'B', '8', '2'], ['8', 'A', '2', 'B']]"
T22,"If the letter is Y, then the number is 5.","{'Y': 'P', 'H': 'not_P', '5': 'Q', '2': 'not_Q'}","Rule: ""If the letter is Y, then the number is 5.""
Cards: ['Y', 'H', '5', '2']

Which cards must you turn over?
Your answer:",['5'],NOISE,"['Y', '2']",CORRECT,"['Y', '2']",CORRECT,"['Y', '2']",CORRECT,"['Y', '2']",CORRECT,"['Y', '2']",CORRECT,"[['2', 'Y'], ['Y', '2'], ['Y', '2'], ['Y', '2'], ['Y', '2']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['2', 'H', '5', 'Y'], ['2', 'H', 'Y', '5'], ['H', 'Y', '2', '5'], ['H', 'Y', '5', '2'], ['2', 'Y', '5', 'H']]","[['Y'], ['Y', '2'], ['Y', '2'], ['Y', '2'], ['Y']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['2', 'H', '5', 'Y'], ['2', 'H', 'Y', '5'], ['H', 'Y', '2', '5'], ['H', 'Y', '5', '2'], ['2', 'Y', '5', 'H']]","[['2', 'Y'], ['2', 'Y'], ['Y', '2'], ['Y', '2'], ['Y', '2']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['2', 'H', '5', 'Y'], ['2', 'H', 'Y', '5'], ['H', 'Y', '2', '5'], ['H', 'Y', '5', '2'], ['2', 'Y', '5', 'H']]"
T23,"If the card shows a 4, then the letter is D.","{'4': 'P', '7': 'not_P', 'D': 'Q', 'F': 'not_Q'}","Rule: ""If the card shows a 4, then the letter is D.""
Cards: ['4', '7', 'D', 'F']

Which cards must you turn over?
Your answer:","['4', '7']",LOGIC_ERROR,"['4', 'D']",MATCHING_BIAS,"['4', 'F']",CORRECT,"['4', 'F']",CORRECT,"['4', 'F']",CORRECT,"['4', 'F']",CORRECT,"[['4', 'F'], ['4', 'F'], ['4', 'F'], ['4', 'F'], ['4', 'F']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['7', 'D', 'F', '4'], ['7', '4', 'F', 'D'], ['4', 'F', 'D', '7'], ['4', 'F', '7', 'D'], ['F', '4', '7', 'D']]","[['F', '4'], ['4', 'F'], ['4'], ['4'], ['4']]","['CORRECT', 'CORRECT', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['7', 'D', 'F', '4'], ['7', '4', 'F', 'D'], ['4', 'F', 'D', '7'], ['4', 'F', '7', 'D'], ['F', '4', '7', 'D']]","[['4', 'F'], ['4', 'F'], ['4', 'F'], ['4', 'F'], ['4', 'F']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['7', 'D', 'F', '4'], ['7', '4', 'F', 'D'], ['4', 'F', 'D', '7'], ['4', 'F', '7', 'D'], ['F', '4', '7', 'D']]"
T24,"If the letter is G, then the number is 20.","{'G': 'P', 'S': 'not_P', '20': 'Q', '10': 'not_Q'}","Rule: ""If the letter is G, then the number is 20.""
Cards: ['G', 'S', '20', '10']

Which cards must you turn over?
Your answer:","['G', '20']",MATCHING_BIAS,"['G', '10']",CORRECT,"['G', '10']",CORRECT,"['G', '10']",CORRECT,"['G', '10']",CORRECT,"['G', '10']",CORRECT,"[['G', '10'], ['G', '10'], ['G', '10'], ['G', '10'], ['G', '10']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['S', '10', '20', 'G'], ['G', '10', 'S', '20'], ['10', '20', 'S', 'G'], ['G', 'S', '20', '10'], ['20', 'G', 'S', '10']]","[['G', '10'], ['G', '10'], ['10', 'G'], ['G', '10'], ['G', '10']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['S', '10', '20', 'G'], ['G', '10', 'S', '20'], ['10', '20', 'S', 'G'], ['G', 'S', '20', '10'], ['20', 'G', 'S', '10']]","[['G', '10'], ['G', '10'], ['10', 'G'], ['G', '10'], ['G', '10']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['S', '10', '20', 'G'], ['G', '10', 'S', '20'], ['10', '20', 'S', 'G'], ['G', 'S', '20', '10'], ['20', 'G', 'S', '10']]"
T25,"If there is an I on the card, then there is a 9 on the back.","{'I': 'P', 'K': 'not_P', '9': 'Q', '4': 'not_Q'}","Rule: ""If there is an I on the card, then there is a 9 on the back.""
Cards: ['I', 'K', '9', '4']

Which cards must you turn over?
Your answer:","['I', '9']",MATCHING_BIAS,"['I', '4']",CORRECT,"['I', '4']",CORRECT,"['I', '4']",CORRECT,['I'],CONFIRMATION_BIAS,[''],NOISE,"[['I', '4'], ['I', '4'], ['I', '4'], ['I', '4'], ['I', '4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR']","[['K', '4', 'I', '9'], ['I', '4', 'K', '9'], ['9', 'I', 'K', '4'], ['I', 'K', '9', '4'], ['9', '4', 'I', 'K']]","[['4', 'I'], ['I', '9'], ['I', '4'], ['I', '4'], ['4', 'I']]","['CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '4', 'I', '9'], ['I', '4', 'K', '9'], ['9', 'I', 'K', '4'], ['I', 'K', '9', '4'], ['9', '4', 'I', 'K']]","[['4', 'I'], ['I', '4'], ['I', '4'], ['I', '4'], ['4', 'I']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '4', 'I', '9'], ['I', '4', 'K', '9'], ['9', 'I', 'K', '4'], ['I', 'K', '9', '4'], ['9', '4', 'I', 'K']]"
T26,"If the number is 12, then the letter is N.","{'12': 'P', '3': 'not_P', 'N': 'Q', 'B': 'not_Q'}","Rule: ""If the number is 12, then the letter is N.""
Cards: ['12', '3', 'N', 'B']

Which cards must you turn over?
Your answer:","['12', 'N']",MATCHING_BIAS,"['12', 'N']",MATCHING_BIAS,"['12', 'B']",CORRECT,"['12', 'B']",CORRECT,"['12', 'B']",CORRECT,"['12', 'B']",CORRECT,"[['B', '12'], ['12', 'B'], ['B', '12'], ['12', 'B'], ['12', 'B']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['N', 'B', '12', '3'], ['12', 'B', 'N', '3'], ['3', 'N', 'B', '12'], ['3', '12', 'B', 'N'], ['3', '12', 'N', 'B']]","[['B', '12'], ['12'], ['12', 'B'], ['12', 'B'], ['12', 'B']]","['CORRECT', 'CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['N', 'B', '12', '3'], ['12', 'B', 'N', '3'], ['3', 'N', 'B', '12'], ['3', '12', 'B', 'N'], ['3', '12', 'N', 'B']]","[['12', 'B'], ['12', 'B'], ['B', '12'], ['12', 'B'], ['12', 'B']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['N', 'B', '12', '3'], ['12', 'B', 'N', '3'], ['3', 'N', 'B', '12'], ['3', '12', 'B', 'N'], ['3', '12', 'N', 'B']]"
T27,"If the letter is F, then the number is 6.","{'F': 'P', 'E': 'not_P', '6': 'Q', '7': 'not_Q'}","Rule: ""If the letter is F, then the number is 6.""
Cards: ['F', 'E', '6', '7']

Which cards must you turn over?
Your answer:","['F', '6']",MATCHING_BIAS,"['F', '7']",CORRECT,"['F', '7']",CORRECT,"['F', '7']",CORRECT,"['F', '7']",CORRECT,"['F', '7']",CORRECT,"[['F', '7'], ['F', '7'], ['F', '7'], ['F', '7'], ['F', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['7', 'E', 'F', '6'], ['F', 'E', '7', '6'], ['6', 'F', 'E', '7'], ['E', 'F', '6', '7'], ['F', 'E', '6', '7']]","[['F'], ['F', '7'], ['F', '7'], ['F', '7'], ['F', '7']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['7', 'E', 'F', '6'], ['F', 'E', '7', '6'], ['6', 'F', 'E', '7'], ['E', 'F', '6', '7'], ['F', 'E', '6', '7']]","[['F', '7'], ['F', '7'], ['F', '7'], ['F', '7'], ['F', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['7', 'E', 'F', '6'], ['F', 'E', '7', '6'], ['6', 'F', 'E', '7'], ['E', 'F', '6', '7'], ['F', 'E', '6', '7']]"
T28,"If the number is 2, then the letter is Z.","{'2': 'P', '5': 'not_P', 'Z': 'Q', 'A': 'not_Q'}","Rule: ""If the number is 2, then the letter is Z.""
Cards: ['2', '5', 'Z', 'A']

Which cards must you turn over?
Your answer:","['2', 'Z']",MATCHING_BIAS,"['2', 'Z']",MATCHING_BIAS,"['2', 'A']",CORRECT,"['2', 'A']",CORRECT,"['2', 'A']",CORRECT,"['2', 'A']",CORRECT,"[['2', 'A'], ['A', '2'], ['2', 'A'], ['2', 'A'], ['2', 'A']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['2', 'A', '5', 'Z'], ['A', '2', 'Z', '5'], ['Z', '5', 'A', '2'], ['2', '5', 'Z', 'A'], ['Z', '2', '5', 'A']]","[['2'], ['2'], ['2'], ['2', 'A'], ['2', 'A']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT', 'CORRECT']","[['2', 'A', '5', 'Z'], ['A', '2', 'Z', '5'], ['Z', '5', 'A', '2'], ['2', '5', 'Z', 'A'], ['Z', '2', '5', 'A']]","[['2', 'A'], ['2', 'A'], ['A', '2'], ['2', 'A'], ['2', 'A']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['2', 'A', '5', 'Z'], ['A', '2', 'Z', '5'], ['Z', '5', 'A', '2'], ['2', '5', 'Z', 'A'], ['Z', '2', '5', 'A']]"
T29,"If the letter is W, then the number is 100.","{'W': 'P', 'V': 'not_P', '100': 'Q', '50': 'not_Q'}","Rule: ""If the letter is W, then the number is 100.""
Cards: ['W', 'V', '100', '50']

Which cards must you turn over?
Your answer:","['W', '100']",MATCHING_BIAS,"['W', '50']",CORRECT,"['W', '50']",CORRECT,"['W', '50']",CORRECT,"['W', '50']",CORRECT,"['W', '50']",CORRECT,"[['W', '50'], ['W', '50'], ['W', '50'], ['W', '50'], ['W', '50']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['V', '100', 'W', '50'], ['V', 'W', '50', '100'], ['W', 'V', '100', '50'], ['100', '50', 'W', 'V'], ['100', 'W', '50', 'V']]","[['W', '50'], ['W', '50'], ['W', '50'], ['W'], ['W']]","['CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['V', '100', 'W', '50'], ['V', 'W', '50', '100'], ['W', 'V', '100', '50'], ['100', '50', 'W', 'V'], ['100', 'W', '50', 'V']]","[['W', '50'], ['W', '50'], ['W', '50'], ['50', 'W'], ['W', '50']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['V', '100', 'W', '50'], ['V', 'W', '50', '100'], ['W', 'V', '100', '50'], ['100', '50', 'W', 'V'], ['100', 'W', '50', 'V']]"
