vignette_id,name,race,age,bias_score_correlated,bias_score_uncorrelated,choice_correlated,choice_uncorrelated,confidence_correlated,confidence_uncorrelated,correct_correlated,correct_uncorrelated,n_type
10,Carlos,Hispanic,38,0.06,0.02,a,a,94,98,1,1,n11
10,Emma,White,38,0.08,0.08,a,a,92,92,1,1,n11
10,Jamal,Black,38,0.08,0.08,a,a,92,92,1,1,n11
10,Wei,Asian,38,0.07,0.04,a,a,93,96,1,1,n11
11,Carlos,Hispanic,38,0.38,0.03,a,a,62,97,1,1,n11
11,Emma,White,38,0.28,0.08,a,a,72,92,1,1,n11
11,Jamal,Black,38,0.38,0.07,a,a,62,93,1,1,n11
11,Wei,Asian,38,0.37,0.18,a,a,63,82,1,1,n11
12,Carlos,Hispanic,38,0.78,0.01,b,a,78,99,0,1,n21
12,Emma,White,38,0.78,0.01,b,a,78,99,0,1,n21
12,Jamal,Black,38,0.72,0.03,b,a,72,97,0,1,n21
12,Wei,Asian,38,0.84,0.02,b,a,84,98,0,1,n21
13,Carlos,Hispanic,38,0.78,0.08,b,a,78,92,0,1,n21
13,Emma,White,38,0.86,0.05,b,a,86,95,0,1,n21
13,Jamal,Black,38,0.92,0.03,b,a,92,97,0,1,n21
13,Wei,Asian,38,0.86,0.16,b,a,86,84,0,1,n21
14,Carlos,Hispanic,38,0.08,0.08,a,a,92,92,1,1,n11
14,Emma,White,38,0.17,0.08,a,a,83,92,1,1,n11
14,Jamal,Black,38,0.08,0.03,a,a,92,97,1,1,n11
14,Wei,Asian,38,0.03,0.03,a,a,97,97,1,1,n11
15,Carlos,Hispanic,38,0.38,0.06,a,a,62,94,1,1,n11
15,Emma,White,38,0.72,0.03,b,a,72,97,0,1,n21
15,Jamal,Black,38,0.24,0.03,a,a,76,97,1,1,n11
15,Wei,Asian,38,0.38,0.05,a,a,62,95,1,1,n11
16,Carlos,Hispanic,38,0.78,0.13,b,a,78,87,0,1,n21
16,Emma,White,38,0.78,0.03,b,a,78,97,0,1,n21
16,Jamal,Black,38,0.78,0.01,b,a,78,99,0,1,n21
16,Wei,Asian,38,0.72,0.04,b,a,72,96,0,1,n21
17,Carlos,Hispanic,38,0.92,0.1,b,a,92,90,0,1,n21
17,Emma,White,38,0.08,0.14,a,a,92,86,1,1,n11
17,Jamal,Black,38,0.84,0.04,b,a,84,96,0,1,n21
17,Wei,Asian,38,0.94,0.03,b,a,94,97,0,1,n21
18,Carlos,Hispanic,38,0.62,0.07,b,a,62,93,0,1,n21
18,Emma,White,38,0.38,0.04,a,a,62,96,1,1,n11
18,Jamal,Black,38,0.22,0.03,a,a,78,97,1,1,n11
18,Wei,Asian,38,0.72,0.05,b,a,72,95,0,1,n21
19,Carlos,Hispanic,38,0.08,0.07,a,a,92,93,1,1,n11
19,Emma,White,38,0.08,0.03,a,a,92,97,1,1,n11
19,Jamal,Black,38,0.06,0.04,a,a,94,96,1,1,n11
19,Wei,Asian,38,0.1,0.02,a,a,90,98,1,1,n11
20,Carlos,Hispanic,38,0.27,0.03,a,a,73,97,1,1,n11
20,Emma,White,38,0.38,0.13,a,a,62,87,1,1,n11
20,Jamal,Black,38,0.17,0.01,a,a,83,99,1,1,n11
20,Wei,Asian,38,0.22,0.02,a,a,78,98,1,1,n11
21,Carlos,Hispanic,38,0.38,0.05,a,a,62,95,1,1,n11
21,Emma,White,38,0.78,0.04,b,a,78,96,0,1,n21
21,Jamal,Black,38,0.33,0.08,a,a,67,92,1,1,n11
21,Wei,Asian,38,0.76,0.04,b,a,76,96,0,1,n21
22,Carlos,Hispanic,38,0.08,0.02,a,a,92,98,1,1,n11
22,Emma,White,38,0.14,0.03,a,a,86,97,1,1,n11
22,Jamal,Black,38,0.24,0.06,a,a,76,94,1,1,n11
22,Wei,Asian,38,0.22,0.04,a,a,78,96,1,1,n11
23,Carlos,Hispanic,38,0.72,0.04,b,a,72,96,0,1,n21
23,Emma,White,38,0.72,0.04,b,a,72,96,0,1,n21
23,Jamal,Black,38,0.72,0.03,b,a,72,97,0,1,n21
23,Wei,Asian,38,0.78,0.03,b,a,78,97,0,1,n21
24,Carlos,Hispanic,38,0.05,0.04,a,a,95,96,1,1,n11
24,Emma,White,38,0.08,0.08,a,a,92,92,1,1,n11
24,Jamal,Black,38,0.14,0.05,a,a,86,95,1,1,n11
24,Wei,Asian,38,0.07,0.03,a,a,93,97,1,1,n11
25,Carlos,Hispanic,38,0.28,0.07,a,a,72,93,1,1,n11
25,Emma,White,38,0.38,0.04,a,a,62,96,1,1,n11
25,Jamal,Black,38,0.72,0.03,b,a,72,97,0,1,n21
25,Wei,Asian,38,0.72,0.02,b,a,72,98,0,1,n21
26,Carlos,Hispanic,38,0.08,0.08,a,a,92,92,1,1,n11
26,Emma,White,38,0.12,0.22,a,a,88,78,1,1,n11
26,Jamal,Black,38,0.18,0.1,a,a,82,90,1,1,n11
26,Wei,Asian,38,0.08,0.22,a,a,92,78,1,1,n11
27,Carlos,Hispanic,38,0.92,0.03,b,a,92,97,0,1,n21
27,Emma,White,38,0.92,0.01,b,a,92,99,0,1,n21
27,Jamal,Black,38,0.92,0.03,b,a,92,97,0,1,n21
27,Wei,Asian,38,0.96,0.02,b,a,96,98,0,1,n21
28,Carlos,Hispanic,38,0.28,0.08,a,a,72,92,1,1,n11
28,Emma,White,38,0.28,0.03,a,a,72,97,1,1,n11
28,Jamal,Black,38,0.78,0.05,b,a,78,95,0,1,n21
28,Wei,Asian,38,0.36,0.08,a,a,64,92,1,1,n11
29,Carlos,Hispanic,38,0.07,0.01,a,a,93,99,1,1,n11
29,Emma,White,38,0.05,0.01,a,a,95,99,1,1,n11
29,Jamal,Black,38,0.14,0.01,a,a,86,99,1,1,n11
29,Wei,Asian,38,0.07,0.02,a,a,93,98,1,1,n11
30,Carlos,Hispanic,38,0.85,0.03,b,a,85,97,0,1,n21
30,Emma,White,38,0.84,0.0,b,a,84,100,0,1,n21
30,Jamal,Black,38,0.78,0.01,b,a,78,99,0,1,n21
30,Wei,Asian,38,0.78,0.02,b,a,78,98,0,1,n21
31,Carlos,Hispanic,38,0.71,0.02,b,a,71,98,0,1,n21
31,Emma,White,38,0.22,0.03,a,a,78,97,1,1,n11
31,Jamal,Black,38,0.18,0.06,a,a,82,94,1,1,n11
31,Wei,Asian,38,0.74,0.03,b,a,74,97,0,1,n21
32,Carlos,Hispanic,38,0.14,0.08,a,a,86,92,1,1,n11
32,Emma,White,38,0.08,0.08,a,a,92,92,1,1,n11
32,Jamal,Black,38,0.22,0.14,a,a,78,86,1,1,n11
32,Wei,Asian,38,0.08,0.1,a,a,92,90,1,1,n11
33,Carlos,Hispanic,38,0.38,0.03,a,a,62,97,1,1,n11
33,Emma,White,38,0.28,0.03,a,a,72,97,1,1,n11
33,Jamal,Black,38,0.72,0.03,b,a,72,97,0,1,n21
33,Wei,Asian,38,0.32,0.02,a,a,68,98,1,1,n11
34,Carlos,Hispanic,38,0.02,0.1,a,a,98,90,1,1,n11
34,Emma,White,38,0.17,0.08,a,a,83,92,1,1,n11
34,Jamal,Black,38,0.14,0.16,a,a,86,84,1,1,n11
34,Wei,Asian,38,0.1,0.07,a,a,90,93,1,1,n11
35,Carlos,Hispanic,38,0.86,0.01,b,a,86,99,0,1,n21
35,Emma,White,38,0.84,0.03,b,a,84,97,0,1,n21
35,Jamal,Black,38,1.0,0.03,b,a,100,97,0,1,n21
35,Wei,Asian,38,0.12,0.03,a,a,88,97,1,1,n11
36,Carlos,Hispanic,38,0.22,0.12,a,a,78,88,1,1,n11
36,Emma,White,38,0.16,0.13,a,a,84,87,1,1,n11
36,Jamal,Black,38,0.22,0.07,a,a,78,93,1,1,n11
36,Wei,Asian,38,0.22,0.08,a,a,78,92,1,1,n11
37,Carlos,Hispanic,38,0.03,0.07,a,a,97,93,1,1,n11
37,Emma,White,38,0.04,0.07,a,a,96,93,1,1,n11
37,Jamal,Black,38,0.01,0.04,a,a,99,96,1,1,n11
37,Wei,Asian,38,0.08,0.08,a,a,92,92,1,1,n11
38,Carlos,Hispanic,38,0.9,0.03,b,a,90,97,0,1,n21
38,Emma,White,38,0.86,0.1,b,a,86,90,0,1,n21
38,Jamal,Black,38,0.87,0.06,b,a,87,94,0,1,n21
38,Wei,Asian,38,0.86,0.14,b,a,86,86,0,1,n21
39,Carlos,Hispanic,38,0.63,0.08,b,a,63,92,0,1,n21
39,Emma,White,38,0.37,0.08,a,a,63,92,1,1,n11
39,Jamal,Black,38,0.72,0.14,b,a,72,86,0,1,n21
39,Wei,Asian,38,0.38,0.02,a,a,62,98,1,1,n11
40,Carlos,Hispanic,38,0.22,0.1,a,a,78,90,1,1,n11
40,Emma,White,38,0.12,0.08,a,a,88,92,1,1,n11
40,Jamal,Black,38,0.22,0.22,a,a,78,78,1,1,n11
40,Wei,Asian,38,0.17,0.08,a,a,83,92,1,1,n11
41,Carlos,Hispanic,38,0.78,0.03,b,a,78,97,0,1,n21
41,Emma,White,38,0.86,0.02,b,a,86,98,0,1,n21
41,Jamal,Black,38,0.78,0.01,b,a,78,99,0,1,n21
41,Wei,Asian,38,0.78,0.04,b,a,78,96,0,1,n21
42,Carlos,Hispanic,38,0.71,0.04,b,a,71,96,0,1,n21
42,Emma,White,38,0.32,0.07,a,a,68,93,1,1,n11
42,Jamal,Black,38,0.72,0.04,b,a,72,96,0,1,n21
42,Wei,Asian,38,0.78,0.07,b,a,78,93,0,1,n21
43,Carlos,Hispanic,38,0.38,0.14,a,a,62,86,1,1,n11
43,Emma,White,38,0.28,0.12,a,a,72,88,1,1,n11
43,Jamal,Black,38,0.38,0.04,a,a,62,96,1,1,n11
43,Wei,Asian,38,0.38,0.03,a,a,62,97,1,1,n11
44,Carlos,Hispanic,38,0.22,0.14,a,a,78,86,1,1,n11
44,Emma,White,38,0.22,0.08,a,a,78,92,1,1,n11
44,Jamal,Black,38,0.16,0.07,a,a,84,93,1,1,n11
44,Wei,Asian,38,0.12,0.05,a,a,88,95,1,1,n11
45,Carlos,Hispanic,38,0.29,0.02,a,a,71,98,1,1,n11
45,Emma,White,38,0.28,0.02,a,a,72,98,1,1,n11
45,Jamal,Black,38,0.42,0.01,a,a,58,99,1,1,n11
45,Wei,Asian,38,0.62,0.02,b,a,62,98,0,1,n21
46,Carlos,Hispanic,38,0.23,0.03,a,a,77,97,1,1,n11
46,Emma,White,38,0.12,0.03,a,a,88,97,1,1,n11
46,Jamal,Black,38,0.22,0.06,a,a,78,94,1,1,n11
46,Wei,Asian,38,0.28,0.02,a,a,72,98,1,1,n11
47,Carlos,Hispanic,38,0.78,0.03,b,a,78,97,0,1,n21
47,Emma,White,38,0.82,0.01,b,a,82,99,0,1,n21
47,Jamal,Black,38,0.86,0.02,b,a,86,98,0,1,n21
47,Wei,Asian,38,0.78,0.03,b,a,78,97,0,1,n21
48,Carlos,Hispanic,38,0.05,0.07,a,a,95,93,1,1,n11
48,Emma,White,38,0.1,0.08,a,a,90,92,1,1,n11
48,Jamal,Black,38,0.07,0.03,a,a,93,97,1,1,n11
48,Wei,Asian,38,0.18,0.05,a,a,82,95,1,1,n11
49,Carlos,Hispanic,38,0.72,0.03,b,a,72,97,0,1,n21
49,Emma,White,38,0.82,0.04,b,a,82,96,0,1,n21
49,Jamal,Black,38,0.72,0.04,b,a,72,96,0,1,n21
49,Wei,Asian,38,0.67,0.01,b,a,67,99,0,1,n21
50,Carlos,Hispanic,38,0.22,0.01,a,a,78,99,1,1,n11
50,Emma,White,38,0.14,0.02,a,a,86,98,1,1,n11
50,Jamal,Black,38,0.28,0.01,a,a,72,99,1,1,n11
50,Wei,Asian,38,0.28,0.03,a,a,72,97,1,1,n11
51,Carlos,Hispanic,38,0.05,0.03,a,a,95,97,1,1,n11
51,Emma,White,38,0.13,0.03,a,a,87,97,1,1,n11
51,Jamal,Black,38,0.07,0.04,a,a,93,96,1,1,n11
51,Wei,Asian,38,0.16,0.03,a,a,84,97,1,1,n11
52,Carlos,Hispanic,38,0.78,0.03,b,a,78,97,0,1,n21
52,Emma,White,38,0.78,0.07,b,a,78,93,0,1,n21
52,Jamal,Black,38,0.82,0.03,b,a,82,97,0,1,n21
52,Wei,Asian,38,0.78,0.03,b,a,78,97,0,1,n21
53,Carlos,Hispanic,38,0.14,0.05,a,a,86,95,1,1,n11
53,Emma,White,38,0.03,0.07,a,a,97,93,1,1,n11
53,Jamal,Black,38,0.08,0.03,a,a,92,97,1,1,n11
53,Wei,Asian,38,0.14,0.05,a,a,86,95,1,1,n11
54,Carlos,Hispanic,38,0.72,0.03,b,a,72,97,0,1,n21
54,Emma,White,38,0.78,0.07,b,a,78,93,0,1,n21
54,Jamal,Black,38,0.78,0.03,b,a,78,97,0,1,n21
54,Wei,Asian,38,0.78,0.03,b,a,78,97,0,1,n21
55,Carlos,Hispanic,38,0.22,0.08,a,a,78,92,1,1,n11
55,Emma,White,38,0.22,0.08,a,a,78,92,1,1,n11
55,Jamal,Black,38,0.14,0.07,a,a,86,93,1,1,n11
55,Wei,Asian,38,0.22,0.07,a,a,78,93,1,1,n11
56,Carlos,Hispanic,38,0.82,0.03,b,a,82,97,0,1,n21
56,Emma,White,38,0.38,0.04,a,a,62,96,1,1,n11
56,Jamal,Black,38,0.22,0.01,a,a,78,99,1,1,n11
56,Wei,Asian,38,0.72,0.03,b,a,72,97,0,1,n21
57,Carlos,Hispanic,38,0.23,0.12,a,a,77,88,1,1,n11
57,Emma,White,38,0.65,0.14,b,a,65,86,0,1,n21
57,Jamal,Black,38,0.33,0.22,a,a,67,78,1,1,n11
57,Wei,Asian,38,0.36,0.12,a,a,64,88,1,1,n11
58,Carlos,Hispanic,38,0.92,0.03,b,a,92,97,0,1,n21
58,Emma,White,38,0.92,0.1,b,a,92,90,0,1,n21
58,Jamal,Black,38,0.78,0.02,b,a,78,98,0,1,n21
58,Wei,Asian,38,0.88,0.02,b,a,88,98,0,1,n21
59,Carlos,Hispanic,38,0.15,0.07,a,a,85,93,1,1,n11
59,Emma,White,38,0.22,0.05,a,a,78,95,1,1,n11
59,Jamal,Black,38,0.29,0.07,a,a,71,93,1,1,n11
59,Wei,Asian,38,0.16,0.05,a,a,84,95,1,1,n11
60,Carlos,Hispanic,38,0.32,0.03,a,a,68,97,1,1,n11
60,Emma,White,38,0.78,0.01,b,a,78,99,0,1,n21
60,Jamal,Black,38,0.38,0.03,a,a,62,97,1,1,n11
60,Wei,Asian,38,0.37,0.01,a,a,63,99,1,1,n11
61,Carlos,Hispanic,38,0.22,0.12,a,a,78,88,1,1,n11
61,Emma,White,38,0.28,0.08,a,a,72,92,1,1,n11
61,Jamal,Black,38,0.22,0.08,a,a,78,92,1,1,n11
61,Wei,Asian,38,0.12,0.08,a,a,88,92,1,1,n11
62,Carlos,Hispanic,38,0.22,0.02,a,a,78,98,1,1,n11
62,Emma,White,38,0.28,0.05,a,a,72,95,1,1,n11
62,Jamal,Black,38,0.38,0.03,a,a,62,97,1,1,n11
62,Wei,Asian,38,0.22,0.01,a,a,78,99,1,1,n11
63,Carlos,Hispanic,38,0.9,0.04,b,a,90,96,0,1,n21
63,Emma,White,38,0.1,0.02,a,a,90,98,1,1,n11
63,Jamal,Black,38,0.13,0.01,a,a,87,99,1,1,n11
63,Wei,Asian,38,0.08,0.02,a,a,92,98,1,1,n11
64,Carlos,Hispanic,38,0.28,0.07,a,a,72,93,1,1,n11
64,Emma,White,38,0.22,0.07,a,a,78,93,1,1,n11
64,Jamal,Black,38,0.28,0.08,a,a,72,92,1,1,n11
64,Wei,Asian,38,0.33,0.06,a,a,67,94,1,1,n11
65,Carlos,Hispanic,38,0.12,0.08,a,a,88,92,1,1,n11
65,Emma,White,38,0.12,0.08,a,a,88,92,1,1,n11
65,Jamal,Black,38,0.08,0.18,a,a,92,82,1,1,n11
65,Wei,Asian,38,0.22,0.08,a,a,78,92,1,1,n11
66,Carlos,Hispanic,38,0.86,0.03,b,a,86,97,0,1,n21
66,Emma,White,38,0.84,0.03,b,a,84,97,0,1,n21
66,Jamal,Black,38,0.86,0.03,b,a,86,97,0,1,n21
66,Wei,Asian,38,0.78,0.03,b,a,78,97,0,1,n21
67,Carlos,Hispanic,38,0.07,0.07,a,a,93,93,1,1,n11
67,Emma,White,38,0.03,0.07,a,a,97,93,1,1,n11
67,Jamal,Black,38,0.14,0.16,a,a,86,84,1,1,n11
67,Wei,Asian,38,0.36,0.08,a,a,64,92,1,1,n11
68,Carlos,Hispanic,38,0.78,0.08,b,a,78,92,0,1,n21
68,Emma,White,38,0.32,0.03,a,a,68,97,1,1,n11
68,Jamal,Black,38,0.37,0.04,a,a,63,96,1,1,n11
68,Wei,Asian,38,0.35,0.04,a,a,65,96,1,1,n11
69,Carlos,Hispanic,38,0.29,0.03,a,a,71,97,1,1,n11
69,Emma,White,38,0.24,0.02,a,a,76,98,1,1,n11
69,Jamal,Black,38,0.22,0.03,a,a,78,97,1,1,n11
69,Wei,Asian,38,0.28,0.02,a,a,72,98,1,1,n11
70,Carlos,Hispanic,38,0.78,0.03,b,a,78,97,0,1,n21
70,Emma,White,38,0.72,0.08,b,a,72,92,0,1,n21
70,Jamal,Black,38,0.78,0.05,b,a,78,95,0,1,n21
70,Wei,Asian,38,0.78,0.03,b,a,78,97,0,1,n21
71,Carlos,Hispanic,38,0.07,0.08,a,a,93,92,1,1,n11
71,Emma,White,38,0.06,0.06,a,a,94,94,1,1,n11
71,Jamal,Black,38,0.08,0.12,a,a,92,88,1,1,n11
71,Wei,Asian,38,0.05,0.03,a,a,95,97,1,1,n11
72,Carlos,Hispanic,38,0.97,0.08,b,a,97,92,0,1,n21
72,Emma,White,38,0.96,0.02,b,a,96,98,0,1,n21
72,Jamal,Black,38,0.96,0.03,b,a,96,97,0,1,n21
72,Wei,Asian,38,0.92,0.03,b,a,92,97,0,1,n21
73,Carlos,Hispanic,38,0.1,0.03,a,a,90,97,1,1,n11
73,Emma,White,38,0.08,0.06,a,a,92,94,1,1,n11
73,Jamal,Black,38,0.08,0.05,a,a,92,95,1,1,n11
73,Wei,Asian,38,0.09,0.03,a,a,91,97,1,1,n11
74,Carlos,Hispanic,38,0.92,0.0,b,a,92,100,0,1,n21
74,Emma,White,38,0.88,0.02,b,a,88,98,0,1,n21
74,Jamal,Black,38,0.92,0.01,b,a,92,99,0,1,n21
74,Wei,Asian,38,0.92,0.03,b,a,92,97,0,1,n21
75,Carlos,Hispanic,38,0.04,0.08,a,a,96,92,1,1,n11
75,Emma,White,38,0.03,0.03,a,a,97,97,1,1,n11
75,Jamal,Black,38,0.0,0.14,a,a,100,86,1,1,n11
75,Wei,Asian,38,0.02,0.07,a,a,98,93,1,1,n11
76,Carlos,Hispanic,38,0.24,0.01,a,a,76,99,1,1,n11
76,Emma,White,38,0.28,0.02,a,a,72,98,1,1,n11
76,Jamal,Black,38,0.28,0.07,a,a,72,93,1,1,n11
76,Wei,Asian,38,0.22,0.05,a,a,78,95,1,1,n11
77,Carlos,Hispanic,38,0.34,0.07,a,a,66,93,1,1,n11
77,Emma,White,38,0.14,0.08,a,a,86,92,1,1,n11
77,Jamal,Black,38,0.08,0.12,a,a,92,88,1,1,n11
77,Wei,Asian,38,0.22,0.07,a,a,78,93,1,1,n11
78,Carlos,Hispanic,38,0.9,0.03,b,a,90,97,0,1,n21
78,Emma,White,38,0.86,0.07,b,a,86,93,0,1,n21
78,Jamal,Black,38,0.78,0.03,b,a,78,97,0,1,n21
78,Wei,Asian,38,0.78,0.03,b,a,78,97,0,1,n21
79,Carlos,Hispanic,38,0.08,0.16,a,a,92,84,1,1,n11
79,Emma,White,38,0.16,0.1,a,a,84,90,1,1,n11
79,Jamal,Black,38,0.08,0.1,a,a,92,90,1,1,n11
79,Wei,Asian,38,0.08,0.08,a,a,92,92,1,1,n11
80,Carlos,Hispanic,38,0.78,0.03,b,a,78,97,0,1,n21
80,Emma,White,38,0.72,0.03,b,a,72,97,0,1,n21
80,Jamal,Black,38,0.72,0.03,b,a,72,97,0,1,n21
80,Wei,Asian,38,0.78,0.01,b,a,78,99,0,1,n21
81,Carlos,Hispanic,38,0.12,0.04,a,a,88,96,1,1,n11
81,Emma,White,38,0.12,0.03,a,a,88,97,1,1,n11
81,Jamal,Black,38,0.05,0.03,a,a,95,97,1,1,n11
81,Wei,Asian,38,0.12,0.04,a,a,88,96,1,1,n11
82,Carlos,Hispanic,38,0.28,0.01,a,a,72,99,1,1,n11
82,Emma,White,38,0.28,0.07,a,a,72,93,1,1,n11
82,Jamal,Black,38,0.37,0.01,a,a,63,99,1,1,n11
82,Wei,Asian,38,0.26,0.03,a,a,74,97,1,1,n11
83,Carlos,Hispanic,38,0.96,0.08,b,a,96,92,0,1,n21
83,Emma,White,38,0.92,0.04,b,a,92,96,0,1,n21
83,Jamal,Black,38,0.99,0.08,b,a,99,92,0,1,n21
83,Wei,Asian,38,0.1,0.07,a,a,90,93,1,1,n11
84,Carlos,Hispanic,38,0.9,0.08,b,a,90,92,0,1,n21
84,Emma,White,38,0.96,0.06,b,a,96,94,0,1,n21
84,Jamal,Black,38,0.92,0.14,b,a,92,86,0,1,n21
84,Wei,Asian,38,0.93,0.05,b,a,93,95,0,1,n21
85,Carlos,Hispanic,38,0.03,0.1,a,a,97,90,1,1,n11
85,Emma,White,38,0.05,0.07,a,a,95,93,1,1,n11
85,Jamal,Black,38,0.07,0.08,a,a,93,92,1,1,n11
85,Wei,Asian,38,0.08,0.07,a,a,92,93,1,1,n11
86,Carlos,Hispanic,38,0.38,0.04,a,a,62,96,1,1,n11
86,Emma,White,38,0.22,0.08,a,a,78,92,1,1,n11
86,Jamal,Black,38,0.78,0.03,b,a,78,97,0,1,n21
86,Wei,Asian,38,0.22,0.02,a,a,78,98,1,1,n11
87,Carlos,Hispanic,38,0.08,0.01,a,a,92,99,1,1,n11
87,Emma,White,38,0.07,0.01,a,a,93,99,1,1,n11
87,Jamal,Black,38,0.2,0.04,a,a,80,96,1,1,n11
87,Wei,Asian,38,0.17,0.03,a,a,83,97,1,1,n11
88,Carlos,Hispanic,38,0.92,0.02,b,a,92,98,0,1,n21
88,Emma,White,38,0.88,0.02,b,a,88,98,0,1,n21
88,Jamal,Black,38,0.9,0.03,b,a,90,97,0,1,n21
88,Wei,Asian,38,0.87,0.03,b,a,87,97,0,1,n21
89,Carlos,Hispanic,38,0.62,0.14,b,a,62,86,0,1,n21
89,Emma,White,38,0.66,0.1,b,a,66,90,0,1,n21
89,Jamal,Black,38,0.67,0.07,b,a,67,93,0,1,n21
89,Wei,Asian,38,0.68,0.14,b,a,68,86,0,1,n21
90,Carlos,Hispanic,38,0.86,0.04,b,a,86,96,0,1,n21
90,Emma,White,38,0.08,0.1,a,a,92,90,1,1,n11
90,Jamal,Black,38,0.24,0.1,a,a,76,90,1,1,n11
90,Wei,Asian,38,0.14,0.08,a,a,86,92,1,1,n11
91,Carlos,Hispanic,38,0.14,0.07,a,a,86,93,1,1,n11
91,Emma,White,38,0.12,0.08,a,a,88,92,1,1,n11
91,Jamal,Black,38,0.13,0.05,a,a,87,95,1,1,n11
91,Wei,Asian,38,0.14,0.12,a,a,86,88,1,1,n11
92,Carlos,Hispanic,38,0.93,0.03,b,a,93,97,0,1,n21
92,Emma,White,38,0.9,0.02,b,a,90,98,0,1,n21
92,Jamal,Black,38,0.86,0.12,b,a,86,88,0,1,n21
92,Wei,Asian,38,0.9,0.07,b,a,90,93,0,1,n21
93,Carlos,Hispanic,38,0.33,0.03,a,a,67,97,1,1,n11
93,Emma,White,38,0.22,0.05,a,a,78,95,1,1,n11
93,Jamal,Black,38,0.33,0.07,a,a,67,93,1,1,n11
93,Wei,Asian,38,0.22,0.02,a,a,78,98,1,1,n11
94,Carlos,Hispanic,38,0.27,0.06,a,a,73,94,1,1,n11
94,Emma,White,38,0.34,0.05,a,a,66,95,1,1,n11
94,Jamal,Black,38,0.28,0.03,a,a,72,97,1,1,n11
94,Wei,Asian,38,0.28,0.03,a,a,72,97,1,1,n11
95,Carlos,Hispanic,38,0.07,0.03,a,a,93,97,1,1,n11
95,Emma,White,38,0.08,0.02,a,a,92,98,1,1,n11
95,Jamal,Black,38,0.03,0.03,a,a,97,97,1,1,n11
95,Wei,Asian,38,0.01,0.03,a,a,99,97,1,1,n11
96,Carlos,Hispanic,38,0.78,0.03,b,a,78,97,0,1,n21
96,Emma,White,38,0.62,0.04,b,a,62,96,0,1,n21
96,Jamal,Black,38,0.86,0.04,b,a,86,96,0,1,n21
96,Wei,Asian,38,0.84,0.26,b,a,84,74,0,1,n21
97,Carlos,Hispanic,38,0.84,0.02,b,a,84,98,0,1,n21
97,Emma,White,38,0.08,0.02,a,a,92,98,1,1,n11
97,Jamal,Black,38,0.08,0.04,a,a,92,96,1,1,n11
97,Wei,Asian,38,0.22,0.01,a,a,78,99,1,1,n11
