Rule Text,JSON Mapping
"If the figure is outlined, then the number is 15.","{'outlined': 'P', 'filled': 'not_P', '15': 'Q', '11': 'not_Q'}"
"If the letter is R, then the color is violet.","{'R': 'P', 'S': 'not_P', 'violet': 'Q', 'teal': 'not_Q'}"
"If the card has a wavy border, then the digit is 7.","{'wavy': 'P', 'straight': 'not_P', '7': 'Q', '4': 'not_Q'}"
"If the number is 16, then the shape is parallelogram.","{'16': 'P', '11': 'not_P', 'parallelogram': 'Q', 'trapezoid': 'not_Q'}"
"If the symbol is flag, then the letter is C.","{'flag': 'P', 'anchor': 'not_P', 'C': 'Q', 'J': 'not_Q'}"
"If the pattern is checkerboard, then the number is 64.","{'checkerboard': 'P', 'striped': 'not_P', '64': 'Q', '32': 'not_Q'}"
"If the shape is spiral, then the color is maroon.","{'spiral': 'P', 'zigzag': 'not_P', 'maroon': 'Q', 'lime': 'not_Q'}"
"If the card has a star, then the number is 5.","{'star': 'P', 'moon': 'not_P', '5': 'Q', '8': 'not_Q'}"
"If the digit is 2, then the letter is J.","{'2': 'P', '7': 'not_P', 'J': 'Q', 'X': 'not_Q'}"
"If the figure is transparent, then the border is double.","{'transparent': 'P', 'opaque': 'not_P', 'double': 'Q', 'single': 'not_Q'}"
"If the letter is N, then the number is 14.","{'N': 'P', 'V': 'not_P', '14': 'Q', '9': 'not_Q'}"
"If the symbol is cube, then the digit is 3.","{'cube': 'P', 'sphere': 'not_P', '3': 'Q', '8': 'not_Q'}"
"If the card is rotated, then the color is silver.","{'rotated': 'P', 'upright': 'not_P', 'silver': 'Q', 'gold': 'not_Q'}"
"If the number is 20, then the shape is rhombus.","{'20': 'P', '15': 'not_P', 'rhombus': 'Q', 'ellipse': 'not_Q'}"
"If the pattern is dotted, then the letter is Q.","{'dotted': 'P', 'crosshatched': 'not_P', 'Q': 'Q', 'Y': 'not_Q'}"
"If the digit is 8, then the symbol is infinity.","{'8': 'P', '3': 'not_P', 'infinity': 'Q', 'theta': 'not_Q'}"
"If the shape is pointed, then the number is 7.","{'pointed': 'P', 'rounded': 'not_P', '7': 'Q', '2': 'not_Q'}"
"If the letter is D, then the color is indigo.","{'D': 'P', 'W': 'not_P', 'indigo': 'Q', 'amber': 'not_Q'}"
"If the card has a ring, then the digit is 0.","{'ring': 'P', 'bar': 'not_P', '0': 'Q', '6': 'not_Q'}"
"If the number is 11, then the letter is K.","{'11': 'P', '6': 'not_P', 'K': 'Q', 'T': 'not_Q'}"
"If the figure is mirrored, then the shape is trapezoid.","{'mirrored': 'P', 'normal': 'not_P', 'trapezoid': 'Q', 'kite': 'not_Q'}"
"If the symbol is wave, then the number is 33.","{'wave': 'P', 'bolt': 'not_P', '33': 'Q', '22': 'not_Q'}"
"If the digit is 5, then the color is coral.","{'5': 'P', '0': 'not_P', 'coral': 'Q', 'slate': 'not_Q'}"
"If the letter is G, then the shape is cylinder.","{'G': 'P', 'B': 'not_P', 'cylinder': 'Q', 'cone': 'not_Q'}"
"If the card has a shadow, then the number is 18.","{'shadow': 'P', 'no_shadow': 'not_P', '18': 'Q', '13': 'not_Q'}"
"If the letter is C, then the number is 17.","{'C': 'P', 'M': 'not_P', '17': 'Q', '4': 'not_Q'}"
"If the number is 25, then the letter is T.","{'25': 'P', '13': 'not_P', 'T': 'Q', 'H': 'not_Q'}"
"If the shape is crescent, then the color is yellow.","{'crescent': 'P', 'pentagon': 'not_P', 'yellow': 'Q', 'red': 'not_Q'}"
"If the digit is 6, then the symbol is anchor.","{'6': 'P', '1': 'not_P', 'anchor': 'Q', 'ladder': 'not_Q'}"
"If the figure is striped, then the border is round.","{'striped': 'P', 'plain': 'not_P', 'round': 'Q', 'sharp': 'not_Q'}"
"If the letter is H, then the number is 37.","{'H': 'P', 'Z': 'not_P', '37': 'Q', '12': 'not_Q'}"
"If the symbol is crown, then the digit is 9.","{'crown': 'P', 'shield': 'not_P', '9': 'Q', '4': 'not_Q'}"
"If the number is 42, then the shape is kite.","{'42': 'P', '17': 'not_P', 'kite': 'Q', 'arrow': 'not_Q'}"
"If the pattern is radial, then the color is bronze.","{'radial': 'P', 'linear': 'not_P', 'bronze': 'Q', 'ivory': 'not_Q'}"
"If the letter is V, then the digit is 8.","{'V': 'P', 'D': 'not_P', '8': 'Q', '3': 'not_Q'}"
"If the figure is hollow, then the shape is diamond.","{'hollow': 'P', 'solid': 'not_P', 'diamond': 'Q', 'square': 'not_Q'}"
"If the digit is 3, then the color is crimson.","{'3': 'P', '8': 'not_P', 'crimson': 'Q', 'olive': 'not_Q'}"
"If the symbol is bolt, then the letter is L.","{'bolt': 'P', 'drop': 'not_P', 'L': 'Q', 'P': 'not_Q'}"
"If the number is 53, then the shape is cone.","{'53': 'P', '28': 'not_P', 'cone': 'Q', 'cube': 'not_Q'}"
"If the letter is J, then the number is 77.","{'J': 'P', 'R': 'not_P', '77': 'Q', '31': 'not_Q'}"
"If the figure is pixelated, then the border is zigzag.","{'pixelated': 'P', 'smooth': 'not_P', 'zigzag': 'Q', 'wavy': 'not_Q'}"
"If the pattern is mosaic, then the color is teal.","{'mosaic': 'P', 'gradient': 'not_P', 'teal': 'Q', 'beige': 'not_Q'}"
"If the digit is 7, then the symbol is prism.","{'7': 'P', '2': 'not_P', 'prism': 'Q', 'lens': 'not_Q'}"
"If the letter is S, then the number is 49.","{'S': 'P', 'N': 'not_P', '49': 'Q', '16': 'not_Q'}"
"If the symbol is gear, then the digit is 12.","{'gear': 'P', 'spring': 'not_P', '12': 'Q', '7': 'not_Q'}"
"If the shape is teardrop, then the color is lavender.","{'teardrop': 'P', 'lozenge': 'not_P', 'lavender': 'Q', 'scarlet': 'not_Q'}"
"If the number is 31, then the letter is Q.","{'31': 'P', '44': 'not_P', 'Q': 'Q', 'B': 'not_Q'}"
