Rule Text,JSON Mapping
"If the animal is a Camel, then it has a Hump.","{'Camel': 'P', 'Horse': 'not_P', 'Hump': 'Q', 'No hump': 'not_Q'}"
"If the organ is the Heart, then it Pumps blood.","{'Heart': 'P', 'Liver': 'not_P', 'Pumps blood': 'Q', 'Does not pump blood': 'not_Q'}"
"If the season is Winter, then the temperature is Cold.","{'Winter': 'P', 'Summer': 'not_P', 'Cold': 'Q', 'Hot': 'not_Q'}"
"If the food is Bread, then it is made from Flour.","{'Bread': 'P', 'Butter': 'not_P', 'Flour': 'Q', 'No flour': 'not_Q'}"
"If the country is Japan, then the currency is Yen.","{'Japan': 'P', 'China': 'not_P', 'Yen': 'Q', 'Yuan': 'not_Q'}"
"If the animal is a Dolphin, then it breathes Air.","{'Dolphin': 'P', 'Tuna': 'not_P', 'Air': 'Q', 'Water': 'not_Q'}"
"If the planet is Venus, then it is hotter than Mercury.","{'Venus': 'P', 'Mars': 'not_P', 'Hotter than Mercury': 'Q', 'Cooler than Mercury': 'not_Q'}"
"If the animal is a Spider, then it has Eight legs.","{'Spider': 'P', 'Ant': 'not_P', 'Eight legs': 'Q', 'Six legs': 'not_Q'}"
"If the tree is a Cactus, then it stores Water.","{'Cactus': 'P', 'Oak': 'not_P', 'Stores water': 'Q', 'Does not store water': 'not_Q'}"
"If the metal is Copper, then it conducts Electricity.","{'Copper': 'P', 'Rubber': 'not_P', 'Conducts electricity': 'Q', 'Does not conduct': 'not_Q'}"
"If the animal is a Snake, then it has no Legs.","{'Snake': 'P', 'Lizard': 'not_P', 'No legs': 'Q', 'Has legs': 'not_Q'}"
"If the bird is an Ostrich, then it cannot Fly.","{'Ostrich': 'P', 'Sparrow': 'not_P', 'Cannot fly': 'Q', 'Can fly': 'not_Q'}"
"If the fruit is a Watermelon, then it contains Seeds.","{'Watermelon': 'P', 'Grape': 'not_P', 'Contains seeds': 'Q', 'Seedless': 'not_Q'}"
"If the gas is Helium, then it is Lighter than air.","{'Helium': 'P', 'Carbon dioxide': 'not_P', 'Lighter than air': 'Q', 'Heavier than air': 'not_Q'}"
"If the insect is a Bee, then it produces Honey.","{'Bee': 'P', 'Wasp': 'not_P', 'Produces honey': 'Q', 'Does not produce honey': 'not_Q'}"
"If the mammal is a Whale, then it lives in the Ocean.","{'Whale': 'P', 'Elephant': 'not_P', 'Ocean': 'Q', 'Land': 'not_Q'}"
"If the element is Carbon, then it can form Diamonds.","{'Carbon': 'P', 'Nitrogen': 'not_P', 'Can form diamonds': 'Q', 'Cannot form diamonds': 'not_Q'}"
"If the country is Brazil, then the language is Portuguese.","{'Brazil': 'P', 'Argentina': 'not_P', 'Portuguese': 'Q', 'Spanish': 'not_Q'}"
"If the food is Cheese, then it is made from Milk.","{'Cheese': 'P', 'Bread': 'not_P', 'Milk': 'Q', 'No milk': 'not_Q'}"
"If the animal is a Frog, then it is Amphibious.","{'Frog': 'P', 'Lizard': 'not_P', 'Amphibious': 'Q', 'Not amphibious': 'not_Q'}"
"If the plant is a Sunflower, then it faces the Sun.","{'Sunflower': 'P', 'Rose': 'not_P', 'Faces sun': 'Q', 'Does not face sun': 'not_Q'}"
"If the ocean is the Pacific, then it is the Largest.","{'Pacific': 'P', 'Atlantic': 'not_P', 'Largest': 'Q', 'Not largest': 'not_Q'}"
"If the bone is the Femur, then it is in the Leg.","{'Femur': 'P', 'Humerus': 'not_P', 'Leg': 'Q', 'Arm': 'not_Q'}"
"If the animal is an Axolotl, then it can Regenerate limbs.","{'Axolotl': 'P', 'Frog': 'not_P', 'Regenerates limbs': 'Q', 'Cannot regenerate': 'not_Q'}"
"If the fruit is an Orange, then it contains Vitamin C.","{'Orange': 'P', 'Apple': 'not_P', 'Vitamin C': 'Q', 'No vitamin C': 'not_Q'}"
"If the material is Glass, then it is Transparent.","{'Glass': 'P', 'Wood': 'not_P', 'Transparent': 'Q', 'Opaque': 'not_Q'}"
"If the animal is a Cow, then it is a Herbivore.","{'Cow': 'P', 'Tiger': 'not_P', 'Herbivore': 'Q', 'Carnivore': 'not_Q'}"
"If the planet is Neptune, then it has a Blue color.","{'Neptune': 'P', 'Mars': 'not_P', 'Blue': 'Q', 'Red': 'not_Q'}"
"If the muscle is the Bicep, then it is in the Arm.","{'Bicep': 'P', 'Quadricep': 'not_P', 'Arm': 'Q', 'Leg': 'not_Q'}"
"If the currency is Euro, then it is used in Europe.","{'Euro': 'P', 'Dollar': 'not_P', 'Europe': 'Q', 'America': 'not_Q'}"
"If the animal is a Tortoise, then it has a Shell.","{'Tortoise': 'P', 'Crocodile': 'not_P', 'Shell': 'Q', 'No shell': 'not_Q'}"
"If the gas is CO2, then plants use it for Photosynthesis.","{'CO2': 'P', 'O2': 'not_P', 'Used in photosynthesis': 'Q', 'Not used': 'not_Q'}"
"If the animal is a Salmon, then it swims Upstream to spawn.","{'Salmon': 'P', 'Trout': 'not_P', 'Swims upstream': 'Q', 'Swims downstream': 'not_Q'}"
"If the continent is Antarctica, then it is covered in Ice.","{'Antarctica': 'P', 'Africa': 'not_P', 'Ice': 'Q', 'No ice': 'not_Q'}"
"If the food is Honey, then it never Expires.","{'Honey': 'P', 'Milk': 'not_P', 'Never expires': 'Q', 'Expires': 'not_Q'}"
"If the animal is a Platypus, then it lays Eggs.","{'Platypus': 'P', 'Dog': 'not_P', 'Lays eggs': 'Q', 'Does not lay eggs': 'not_Q'}"
"If the element is Sodium, then it reacts violently with Water.","{'Sodium': 'P', 'Gold': 'not_P', 'Reacts with water': 'Q', 'Does not react': 'not_Q'}"
"If the bird is a Pelican, then it has a large Bill pouch.","{'Pelican': 'P', 'Crow': 'not_P', 'Bill pouch': 'Q', 'No pouch': 'not_Q'}"
"If the animal is a Kangaroo, then it carries young in a Pouch.","{'Kangaroo': 'P', 'Rabbit': 'not_P', 'Pouch': 'Q', 'No pouch': 'not_Q'}"
"If the planet is Mars, then it has Two moons.","{'Mars': 'P', 'Venus': 'not_P', 'Two moons': 'Q', 'No moons': 'not_Q'}"
"If the food is Vinegar, then it tastes Sour.","{'Vinegar': 'P', 'Sugar': 'not_P', 'Sour': 'Q', 'Sweet': 'not_Q'}"
"If the mineral is Diamond, then it is the Hardest natural substance.","{'Diamond': 'P', 'Quartz': 'not_P', 'Hardest': 'Q', 'Not hardest': 'not_Q'}"
"If the animal is a Porcupine, then it has Quills.","{'Porcupine': 'P', 'Beaver': 'not_P', 'Quills': 'Q', 'No quills': 'not_Q'}"
"If the continent is Australia, then it is also a Country.","{'Australia': 'P', 'Europe': 'not_P', 'Also a country': 'Q', 'Not a country': 'not_Q'}"
"If the liquid is Water, then it boils at 100 Celsius.","{'Water': 'P', 'Alcohol': 'not_P', '100 Celsius': 'Q', '78 Celsius': 'not_Q'}"
"If the plant is a Venus flytrap, then it eats Insects.","{'Venus flytrap': 'P', 'Fern': 'not_P', 'Eats insects': 'Q', 'Does not eat insects': 'not_Q'}"
"If the tree is a Bamboo, then it grows Very fast.","{'Bamboo': 'P', 'Oak': 'not_P', 'Very fast': 'Q', 'Slow': 'not_Q'}"
"If the animal is a Polar bear, then its fur appears White.","{'Polar bear': 'P', 'Grizzly': 'not_P', 'White': 'Q', 'Brown': 'not_Q'}"
"If the country is Egypt, then the river is Nile.","{'Egypt': 'P', 'Sudan': 'not_P', 'Nile': 'Q', 'Congo': 'not_Q'}"
"If the animal is a Skunk, then it can spray a bad Smell.","{'Skunk': 'P', 'Raccoon': 'not_P', 'Bad smell': 'Q', 'No smell': 'not_Q'}"
"If the food is Salt, then it dissolves in Water.","{'Salt': 'P', 'Sand': 'not_P', 'Dissolves': 'Q', 'Does not dissolve': 'not_Q'}"
"If the bird is a Hummingbird, then it hovers in Mid-air.","{'Hummingbird': 'P', 'Pigeon': 'not_P', 'Hovers': 'Q', 'Does not hover': 'not_Q'}"
"If the animal is a Sloth, then it moves Very slowly.","{'Sloth': 'P', 'Cheetah': 'not_P', 'Very slowly': 'Q', 'Very fast': 'not_Q'}"
"If the planet is Jupiter, then it is the Largest planet.","{'Jupiter': 'P', 'Saturn': 'not_P', 'Largest': 'Q', 'Not largest': 'not_Q'}"
"If the material is Rubber, then it is an Insulator.","{'Rubber': 'P', 'Copper': 'not_P', 'Insulator': 'Q', 'Conductor': 'not_Q'}"
"If the animal is a Crab, then it walks Sideways.","{'Crab': 'P', 'Lobster': 'not_P', 'Sideways': 'Q', 'Forward': 'not_Q'}"
