Rule Text,JSON Mapping
"If a child is in a Car, they must wear a Seatbelt.","{'Child in car': 'P', 'Adult in car': 'not_P', 'Seatbelt on': 'Q', 'No seatbelt': 'not_Q'}"
"If you enter a Hospital ward, you must wash your Hands.","{'Hospital ward': 'P', 'Hospital lobby': 'not_P', 'Washed hands': 'Q', 'Unwashed hands': 'not_Q'}"
"If a swimmer is in the Pool, they must wear a Swim cap.","{'In pool': 'P', 'On deck': 'not_P', 'Swim cap': 'Q', 'No cap': 'not_Q'}"
"If you want to Vote, you must be Registered.","{'Wants to vote': 'P', 'Not voting': 'not_P', 'Registered': 'Q', 'Unregistered': 'not_Q'}"
"If a person is Arrested, they must be read their Rights.","{'Arrested': 'P', 'Questioned': 'not_P', 'Read rights': 'Q', 'Not read rights': 'not_Q'}"
"If you operate Heavy machinery, you must be Certified.","{'Heavy machinery': 'P', 'Office equipment': 'not_P', 'Certified': 'Q', 'Uncertified': 'not_Q'}"
"If a business sells Food, it must pass a Health inspection.","{'Sells food': 'P', 'Sells clothing': 'not_P', 'Passed inspection': 'Q', 'Failed inspection': 'not_Q'}"
"If you carry a Firearm, you must have a License.","{'Carries firearm': 'P', 'Carries phone': 'not_P', 'Has license': 'Q', 'No license': 'not_Q'}"
"If a building is Taller than 10 floors, it must have a Fire escape.","{'Tall building': 'P', 'Single floor': 'not_P', 'Has fire escape': 'Q', 'No fire escape': 'not_Q'}"
"If you collect a Pension, you must be Retired.","{'Collects pension': 'P', 'Receives salary': 'not_P', 'Retired': 'Q', 'Still working': 'not_Q'}"
"If a driver runs a Red light, they receive a Penalty.","{'Ran red light': 'P', 'Stopped at red': 'not_P', 'Penalty': 'Q', 'No penalty': 'not_Q'}"
"If you are a Pilot, you must have a valid Medical certificate.","{'Pilot': 'P', 'Passenger': 'not_P', 'Medical certificate': 'Q', 'No certificate': 'not_Q'}"
"If a product is Recalled, it must be Removed from shelves.","{'Recalled product': 'P', 'Normal product': 'not_P', 'Removed': 'Q', 'Still on shelves': 'not_Q'}"
"If a minor is Out past curfew, they must have Parental permission.","{'Out past curfew': 'P', 'Home on time': 'not_P', 'Has permission': 'Q', 'No permission': 'not_Q'}"
"If a vehicle is Unregistered, it cannot be Driven legally.","{'Unregistered': 'P', 'Registered': 'not_P', 'Cannot drive legally': 'Q', 'Can drive': 'not_Q'}"
"If you handle Food professionally, you must wear Gloves.","{'Handles food': 'P', 'Cleans floor': 'not_P', 'Wears gloves': 'Q', 'No gloves': 'not_Q'}"
"If a tenant breaks the Lease, they forfeit the Deposit.","{'Breaks lease': 'P', 'Honors lease': 'not_P', 'Loses deposit': 'Q', 'Keeps deposit': 'not_Q'}"
"If you enter a Country illegally, you can be Deported.","{'Illegal entry': 'P', 'Legal entry': 'not_P', 'Can be deported': 'Q', 'Cannot be deported': 'not_Q'}"
"If a patient is Unconscious, doctors must obtain Emergency consent.","{'Unconscious': 'P', 'Conscious': 'not_P', 'Emergency consent': 'Q', 'Normal consent': 'not_Q'}"
"If you take a Taxi, you must pay the Fare.","{'Takes taxi': 'P', 'Walks': 'not_P', 'Pays fare': 'Q', 'Does not pay': 'not_Q'}"
"If a student is Caught cheating, they receive a Failing grade.","{'Caught cheating': 'P', 'Honest work': 'not_P', 'Failing grade': 'Q', 'Normal grade': 'not_Q'}"
"If an animal bites someone, it must be Quarantined.","{'Animal bites': 'P', 'Animal plays': 'not_P', 'Quarantined': 'Q', 'Not quarantined': 'not_Q'}"
"If you park in a No-parking zone, your car gets Towed.","{'No-parking zone': 'P', 'Parking lot': 'not_P', 'Towed': 'Q', 'Not towed': 'not_Q'}"
"If a lawyer represents you, they must keep information Confidential.","{'Has lawyer': 'P', 'No lawyer': 'not_P', 'Confidential': 'Q', 'Shared publicly': 'not_Q'}"
"If you cross the Border, your Passport is checked.","{'Crossing border': 'P', 'Staying in country': 'not_P', 'Passport checked': 'Q', 'No check': 'not_Q'}"
"If you file Taxes late, you pay a Penalty.","{'Late taxes': 'P', 'On-time taxes': 'not_P', 'Penalty': 'Q', 'No penalty': 'not_Q'}"
"If a restaurant receives a Health violation, it must Close temporarily.","{'Health violation': 'P', 'Clean inspection': 'not_P', 'Closes': 'Q', 'Stays open': 'not_Q'}"
"If you use a Crosswalk, cars must Yield.","{'Crosswalk': 'P', 'Jaywalking': 'not_P', 'Cars yield': 'Q', 'Cars do not yield': 'not_Q'}"
"If you receive a Subpoena, you must appear in Court.","{'Subpoena': 'P', 'No subpoena': 'not_P', 'Appears in court': 'Q', 'Does not appear': 'not_Q'}"
"If a food product Expires, it must be Discarded.","{'Expired food': 'P', 'Fresh food': 'not_P', 'Discarded': 'Q', 'Kept for sale': 'not_Q'}"
"If you take someone else's Property, you can be charged with Theft.","{'Takes property': 'P', 'Leaves property': 'not_P', 'Charged with theft': 'Q', 'No charge': 'not_Q'}"
"If a vehicle passes the Emissions test, it gets a Sticker.","{'Passes test': 'P', 'Fails test': 'not_P', 'Gets sticker': 'Q', 'No sticker': 'not_Q'}"
"If you enter a Gated community, you must be Buzzed in.","{'Gated community': 'P', 'Open street': 'not_P', 'Buzzed in': 'Q', 'Walks in freely': 'not_Q'}"
"If a child is Homeschooled, parents must file with the State.","{'Homeschooled': 'P', 'Public school': 'not_P', 'Filed with state': 'Q', 'No filing': 'not_Q'}"
"If you are Summoned for jury duty, you must Attend.","{'Summoned': 'P', 'Not summoned': 'not_P', 'Attends': 'Q', 'Does not attend': 'not_Q'}"
"If a food handler is Sick, they must not work with Food.","{'Sick handler': 'P', 'Healthy handler': 'not_P', 'Not working with food': 'Q', 'Working with food': 'not_Q'}"
"If you donate Blood, you must meet Health requirements.","{'Donating blood': 'P', 'Receiving blood': 'not_P', 'Meets requirements': 'Q', 'Does not meet': 'not_Q'}"
"If a building is Condemned, people must Evacuate.","{'Condemned building': 'P', 'Safe building': 'not_P', 'Evacuated': 'Q', 'Stays inside': 'not_Q'}"
"If you drive a Motorcycle, you must wear a Helmet.","{'Motorcycle': 'P', 'Bicycle': 'not_P', 'Wears helmet': 'Q', 'No helmet': 'not_Q'}"
"If a pharmacist dispenses a Drug, they must verify the Prescription.","{'Dispensing drug': 'P', 'Selling vitamins': 'not_P', 'Verified prescription': 'Q', 'No verification': 'not_Q'}"
"If a patient is Discharged, a doctor must sign the Release.","{'Discharged': 'P', 'Admitted': 'not_P', 'Doctor signed': 'Q', 'No signature': 'not_Q'}"
"If you use a Company car for Personal use, you must declare it.","{'Personal use': 'P', 'Business use': 'not_P', 'Declared': 'Q', 'Not declared': 'not_Q'}"
"If an inspector finds a Safety violation, work must Stop.","{'Safety violation': 'P', 'Clean site': 'not_P', 'Work stops': 'Q', 'Work continues': 'not_Q'}"
"If you witness an Accident, you must report it to Authorities.","{'Witnesses accident': 'P', 'Hears about it': 'not_P', 'Reports it': 'Q', 'Does not report': 'not_Q'}"
"If a gun is Stored at home, it must be in a Locked safe.","{'Gun at home': 'P', 'No gun': 'not_P', 'Locked safe': 'Q', 'Unsecured': 'not_Q'}"
"If you are Under oath, you must tell the Truth.","{'Under oath': 'P', 'Not sworn in': 'not_P', 'Tells truth': 'Q', 'Can mislead': 'not_Q'}"
"If a business Closes permanently, it must notify its Employees.","{'Permanent closure': 'P', 'Temporary closure': 'not_P', 'Notified employees': 'Q', 'No notice': 'not_Q'}"
"If a hotel guest Checks out late, they pay an Extra fee.","{'Late checkout': 'P', 'On-time checkout': 'not_P', 'Extra fee': 'Q', 'No fee': 'not_Q'}"
"If you apply for a Loan, the bank checks your Credit score.","{'Loan application': 'P', 'Savings deposit': 'not_P', 'Credit checked': 'Q', 'No check': 'not_Q'}"
"If a surgeon performs an Operation, they must be Licensed.","{'Performs operation': 'P', 'Assists operation': 'not_P', 'Licensed': 'Q', 'Unlicensed': 'not_Q'}"
"If you enter a Laboratory, you must wear Safety goggles.","{'Enters lab': 'P', 'Waits outside': 'not_P', 'Goggles on': 'Q', 'No goggles': 'not_Q'}"
"If a ship enters a Port, it must be Inspected.","{'Enters port': 'P', 'Sails open sea': 'not_P', 'Inspected': 'Q', 'Not inspected': 'not_Q'}"
"If a contractor finishes the Job, the client must Pay.","{'Job finished': 'P', 'Job ongoing': 'not_P', 'Client pays': 'Q', 'Client does not pay': 'not_Q'}"
